StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,Complexity
PJANXHGTPQOBST-VAWYXSNFSA-N,c1ccc(cc1)\C=C\c2ccccc2,Train,-0.24676631100000002,180.24900000000002,124.0,162.372,-540.7299466,-540.7324238,-0.002477113,-540.554487,-540.556646,-0.002159,-530.5916404,-530.6048528,-0.013212368,-530.379518,-530.392985,-0.013466999999999998,0.0,0.0,-0.21266999999999997,-0.06356,0.11675999999999999,0.05376,414.5311584,0.0,-2.89978,-0.24386,0.24725,0.0,26,11851.5,24145.5,39393.0,0.283870968,0.524694426,0.533333333,14,12.36879713,-54.71462856,67.08342569,793,0.024406562000000003,0.00263869,823.8654150120442
PJHUABJTDFXYRQ-UHFFFAOYSA-N,[N-]=[N+]=NC(=O)c1ccccc1,Train,0.7747851609999999,147.136,30.0,98.223,-509.20160719999996,-509.2044285,-0.002821309,-509.12259800000004,-509.125525,-0.002927,-499.66066229999996,-499.66401490000004,-0.003352571,-499.56428200000005,-499.567709,-0.0034270000000000004,3.3492,3.7844,-0.27654,-0.0876,0.09272000000000001,0.11763,324.209259,-0.5927899999999999,-0.58081,-0.5927899999999999,0.65795,-0.7104600000000001,16,11686.0,18928.5,28153.0,0.348,0.530487805,0.628988101,4,30.10843894,-62.34492801,92.45336695,2807,0.02838508,0.004522921,494.23896248733587
PJYGUOOQKCIMEO-UHFFFAOYSA-N,CCCC(=O)NNC(=O)CCCC(=O)O,Train,-2.30102397,216.237,161.0,182.726,-763.0481128,-763.0574584,-0.009345645,-762.835774,-762.847388,-0.011614,-748.7743968,-748.7886748,-0.014277938,-748.515576,-748.52927,-0.013694,1.5739,1.8223,-0.24086,-0.01517,0.16515,0.08195,479.8884888,-2.7021599999999997,-1.13459,-0.72785,0.8227,-3.63898,31,25130.0,26934.0,40210.5,0.33015873,0.364594418,0.37275985700000003,6,57.69355025,-187.4001491,245.0936994,3839,0.034446801,0.009844857,733.0909407873573
PLPWYNVDCPPLMM-UHFFFAOYSA-N,Cc1ccc(cc1)N=Nc2ccc(O)cc2,Train,-0.907224384,212.25099999999998,148.0,161.93,-687.3260489,-687.3303363,-0.004287418,-687.146976,-687.152335,-0.005359,-674.5000404,-674.5131407,-0.013100283,-674.2826769999999,-674.29548,-0.012803,1.3191,1.4863,-0.21964,-0.08448,0.09584,0.06072999999999999,448.9611206,-0.7034699999999999,-2.17026,-0.7034699999999999,0.5153300000000001,-1.1203100000000001,28,12265.5,27384.0,42163.5,0.304477612,0.48319803200000006,0.615773626,8,-2.647176735,-99.61737637,96.97019963,3138,-0.025154608,0.0047191640000000005,926.9403300408611
POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(O)=O,Train,0.910290571,200.321,44.0,208.36700000000002,-622.2436315,-622.2471904,-0.0035588409999999997,-621.94493,-621.948792,-0.0038619999999999995,-610.6065242999999,-610.6211907,-0.014666327,-610.2352530000001,-610.250729,-0.015475999999999998,1.5475,1.7847,-0.28923000000000004,-0.0061200000000000004,0.1742,0.13032,518.1315918,-1.35687,-4.593459999999999,-0.72859,0.82294,-1.35687,38,11271.5,38153.0,41023.5,0.24821002399999997,0.300635922,0.833333333,5,-14.07838941,-73.56616747,59.48777806,1495,-0.043239585,0.010979065,894.5672060770505
PPJVBBJMDLANLB-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(c2c1cccc2[N+]([O-])=O)[N+]([O-])=O,Test,-1.5153563380000001,263.166,148.5,143.995,-999.3994232999999,-999.4074117999999,-0.007988494,-999.287685,-999.295843,-0.008158,-980.7493488,-980.7665299,-0.017181132,-980.6145130000001,-980.631574,-0.017061,3.9839,4.7437,-0.29005,-0.14708,0.03324,0.13114,405.591156,-2.21675,-0.71134,-0.38924000000000003,0.5208699999999999,-0.7017800000000001,24,19319.0,23177.0,37008.0,0.543180508,0.594242713,0.928849368,3,144.5073709,-190.5472366,335.05460750000003,8414,0.039821085,0.011150643,942.3700865980212
PQBRXQUGVASQBU-UHFFFAOYSA-N,Cc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,Train,-2.295674141,300.274,211.0,206.636,-1060.449182,-1060.456325,-0.00714259,-1060.247767,-1060.255512,-0.007745,-1040.6351789999999,-1040.652087,-0.01690867,-1040.38827,-1040.405224,-0.016954,9.2645,10.6895,-0.23886999999999997,-0.12080999999999999,0.05951,0.07996,533.53125,-1.6315600000000001,-1.97045,-0.7011,0.49218,-1.30586,34,15956.0,30057.5,52420.0,0.281420765,0.49257808399999997,0.552045133,5,134.05087029999999,-189.1595821,323.2104523,10086,0.03192814,0.009401553,1263.2066945553152
PRCOWBGHTCNVDZ-FPLPWBNLSA-N,CCCCCCC=CC(N)=O,Train,0.512299784,155.24,118.5,123.815,-483.2034944,-483.20904759999996,-0.005553155,-482.995449,-483.00147699999997,-0.006028,-474.1171999,-474.1279641,-0.010764161999999999,-473.85976900000003,-473.87018499999994,-0.010416,3.8160000000000003,4.3686,-0.25888,-0.04016,0.14015999999999998,0.09997,423.6634216,-0.67324,-2.8702099999999997,-0.86265,0.64031,-1.53589,28,13800.5,31546.5,34386.5,0.40043163600000004,0.40203662,0.966442942,3,-24.71524206,-121.39568440000001,96.68044238,2297,0.041887993,0.016496567,643.503720769501
QEIRHBKKYVWAOM-UHFFFAOYSA-N,Oc1ccc(cc1)C(O)(c2ccccc2)c3ccccc3,Train,-1.61750544,276.335,160.0,228.203,-884.1203803999999,-884.1254951,-0.005114682,-883.868014,-883.8736859999999,-0.005672,-867.6330277000001,-867.6504923,-0.017464531999999998,-867.332392,-867.3497150000001,-0.017322999999999998,0.8042,0.941,-0.22812,-0.02968,0.15064,0.06921000000000001,506.905304,-1.4797799999999999,-3.053,-0.7661,0.51256,-1.4797799999999999,37,31365.5,32772.5,40133.5,0.609941201,0.667533214,0.90545225,7,-6.668561595,-109.7957376,103.127176,2707,-0.027511052,0.005995035,1296.9411663815001
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,Test,-2.740804655,110.11200000000001,171.0,61.56,-382.6896793,-382.69443789999997,-0.004758578,-382.61328599999996,-382.6181,-0.004814,-375.55616729999997,-375.5647721,-0.008604863,-375.463616,-375.47224500000004,-0.008629000000000001,0.0048,0.0067,-0.24456999999999998,-0.02327,0.15705,0.08566,276.85958860000005,-1.52542,-0.52786,-0.76271,0.5189199999999999,-1.52542,14,11595.5,16143.0,21903.5,0.455428527,0.635057502,0.995762798,6,21.46172016,-79.14954681,100.611267,1059,-0.03745369,0.009600187,301.8247413207328
QIJZEVMDXMIRHM-AEMDVCDZSA-N,CCC12SC3SC(S1)SC(CC)(S3)S2,Train,-1.3318306,300.579,250.0,178.605,-2701.191,-2701.195416,-0.00441594,-2701.042387,-2701.0467710000003,-0.004384000000000001,-2665.387521,-2665.40185,-0.014329399999999999,-2665.196757,-2665.211092,-0.014334999999999999,0.8326,0.8857,-0.2289,-0.03798,0.14234000000000002,0.06999,419.8461914,0.0,-5.04905,-0.78373,0.32248000000000004,1.8383900000000002,26,23311.0,29954.0,32251.0,0.6943897659999999,0.903381607,0.9485509679999999,8,-3.1758672060000004,-96.12121301,92.9453458,992,-0.028788456,0.005267582,562.1904078836883
QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,Train,-1.131340971,284.483,70.0,280.749,-858.1318614,-858.1354924000001,-0.003631026,-857.674982,-857.679165,-0.004183,-842.0854598,-842.1063575,-0.020897673000000002,-841.517299,-841.539076,-0.021777,1.5459,1.7847,-0.28865999999999997,-0.0061,0.17422,0.12975,710.6550292999999,-1.3568200000000001,-7.32678,-0.72838,0.82288,-1.3568200000000001,56,40643.0,41987.0,57696.5,0.220331401,0.23809523800000001,0.24137931,5,-10.37650756,-71.41893916,61.0424316,1449,-0.043027864000000006,0.011312062,1459.9903333543837
QJGNSTCICFBACB-UHFFFAOYSA-N,CCCCCCCCC(C(O)=O)C(O)=O,Train,-3.271932299,216.27700000000002,115.0,162.525,-732.1842641,-732.1902158,-0.005951723000000001,-731.92895,-731.935164,-0.006214,-718.5259437000001,-718.5408522000001,-0.01490858,-718.205425,-718.220842,-0.015416999999999998,2.2126,2.5941,-0.29823,-0.02817,0.15215,0.13932,495.53646849999996,-2.6519999999999997,-2.70695,-0.71907,0.8374,-2.6519999999999997,35,17346.0,36610.0,41409.0,0.368424855,0.5107497320000001,0.707266718,4,-2.208391111,-115.6459456,113.43755449999999,1733,-0.036469322,0.011299513999999998,811.4177672960357
QLCFFBOGHZDLGO-UHFFFAOYSA-N,Clc1ccc2c3ccccc3C(=O)c4cccc1c24,Train,-1.360352472,264.711,180.0,196.956,-1188.7127449999998,-1188.7165109999999,-0.00376592,-1188.545365,-1188.549917,-0.0045520000000000005,-1169.548017,-1169.56565,-0.01763308,-1169.349191,-1169.366608,-0.017417,2.8239,3.452,-0.23085,-0.10524000000000001,0.07508,0.07194,434.7248535,-0.59688,-1.7246,-0.59688,0.5459,-0.5878800000000001,28,15636.0,22491.5,44107.5,0.310064761,0.423076912,0.8665008590000001,3,43.74371443,-81.31642088,125.06013529999998,3165,0.031104541,0.007041355,1274.8142546877157
