Name,SMILES,PCA1,PCA2
CCGPUGMWYLICGL-UHFFFAOYSA-N,Clc1c(Cl)ccc(NC(=O)N(CCCC)C)c1,0.2537317626562129,0.7281339103777142
CDAWCLOXVUBKRW-UHFFFAOYSA-N,Oc1c(N)cccc1,-0.8792641949450626,-0.37411013285971995
CDOZDBSBBXSXLB-UHFFFAOYSA-N,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,-0.3418053880783902,-0.1331872679408521
CDVNZMKTJIBBBV-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,-0.4232746170363987,0.5915338137657158
CEOCDNVZRAIOQZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,-0.4764932106415554,-1.5983836078887572
CERQOIWHTDAKMF-UHFFFAOYSA-N,O=C(O)C(=C)C,1.1672513960204982,0.1850888326814885
CFBYEGUGFPZCNF-UHFFFAOYSA-N,O=[N+]([O-])c1c(OC)cccc1,-1.18120517916082,0.05996828580656213
CGBCCZZJVKUAMX-UHFFFAOYSA-N,ClC1=CC2C(C3(C1=CC(=O)C=C3)C)CCC1(C2CCC1(OC(=O)C)C(=O)C)C,0.43659145977520986,1.108527282651344
CHMBIJAOCISYEW-UHFFFAOYSA-N,O=C(Nc1ccc(N)cc1)C,-0.15255098652835025,0.6920819806350089
CHNUNORXWHYHNE-UHFFFAOYSA-N,Clc1c(OC(C)C)cc(n2c(=O)oc(C(C)(C)C)n2)c(Cl)c1,-0.2904605944267123,-0.42667853774543646
CHNXZKVNWQUJIB-UHFFFAOYSA-N,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,0.6064710974527592,0.7784627038731944
CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,0.41178755799917915,-1.1795379246940507
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1C(=C(O)[C@@H]([C@@H](O)CO)O1)O,0.654391535777495,0.022992626801371048
CIWBSHSKHKDKBQ-UHFFFAOYSA-N,O=C1C(=C(O)C(C(O)CO)O1)O,0.654391535777495,0.022992626801371048
CJHXCRMKMMBYJQ-UHFFFAOYSA-N,Oc1c(CCCC)c(C)nc(N(C)C)n1,1.4100701387088295,-0.4492779865184742
CKRZKMFTZCFYGB-UHFFFAOYSA-N,ONc1ccccc1,-0.8601499294157394,0.045376526653009557
CMSMOCZEIVJLDB-UHFFFAOYSA-N,ClCCN(CCCl)P1(=O)OCCCN1,0.8946164150593864,-0.8582956081355771
CMVQZRLQEOAYSW-UHFFFAOYSA-N,Clc1c(Cl)cccc1[N+](=O)[O-],-1.5030893023947596,-0.8683431801951443
CNGDZXAWOIPFFX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,-0.5219497486156136,0.8398701687300092
COLNVLDHVKWLRT-UHFFFAOYSA-N,O=C(O)C(N)Cc1ccccc1,-0.4679759060554476,1.0480176247653117
CPGPAVAKSZHMBP-UHFFFAOYSA-N,Cc1c2c(cc3c1cccc3)cccc2,-1.1599020796136041,-0.7993424940802484
CPNGPNLZQNNVQM-UHFFFAOYSA-N,n1c2nccnc2cnc1,-0.1082920339251411,-1.2202413415501265
CQRYARSYNCAZFO-UHFFFAOYSA-N,OCc1c(O)cccc1,-0.6285568379135471,-0.2044099327774943
CSHWQDPOILHKBI-UHFFFAOYSA-N,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,-0.9508324251695712,-1.070408398994193
CTJMNBROBOZHAP-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-0.1893474942066039,1.404253606184674
CULUWZNBISUWAS-UHFFFAOYSA-N,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,-1.1940891264966627,1.092528781369238
CVQODEWAPZVVBU-UHFFFAOYSA-N,O=C(Oc1cc(C)cc(C)c1)NC,0.15378676668197083,0.6806223695868528
CVRALZAYCYJELZ-UHFFFAOYSA-N,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,-1.258454643181379,-0.38210126087458457
CVUGPAFCQJIYDT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-1.247686282658969,-1.0016643774604952
CWJSHJJYOPWUGX-UHFFFAOYSA-N,Clc1cc(NC(=O)OC(C)C)ccc1,-0.7955597066713974,0.8354730100775531
CWRYPZZKDGJXCA-UHFFFAOYSA-N,c12c3cccc1CCc2ccc3,-0.8883618892152613,-0.9374660819796115
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,-0.9494675100271119,-0.07067068281861719
CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c12c(cccc1)CCCC2,-0.8718173175769618,-0.6356966476513247
CYFLXLSBHQBMFT-UHFFFAOYSA-N,S(=O)(=O)(Nc1oc(C)c(C)n1)c1ccc(N)cc1,-0.8689710402789287,-0.29162083737863104
CZGCEKJOLUNIFY-UHFFFAOYSA-N,Clc1ccc([N+](=O)[O-])cc1,-1.1613323191487406,-0.9294079066610318
CZIHNRWJTSTCEX-UHFFFAOYSA-N,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,-0.875174721674623,0.9431978023797322
CZMRCDWAGMRECN-UGDNZRGBSA-N,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,0.8334564501926002,-0.25622135716609157
CZPWVGJYEJSRLH-UHFFFAOYSA-N,n1cnccc1,-0.050075910114476145,-1.215504948483215
DBABZHXKTCFAPX-UHFFFAOYSA-N,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,0.25427596232434374,1.113739651256409
DBPWSSGDRRHUNT-UHFFFAOYSA-N,O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,0.7152388077316947,1.248866169079574
