StdInChIKey,MLR,PLS,ANN,SVM,RF,ExtraTrees,Bagging,GPR
LDVVMCZRFWMZSG-OLQVQODUSA-N,-1.03008479,-0.958970359,-1.022493993,-1.203593262,-1.22310496,-1.223744565,-1.216799922,-1.216868133
LGGDXXJAGWBUSL-BKRJIHRRSA-N,-0.700007647,-0.765644539,0.241798709,-0.425580772,-0.742032117,-0.814165767,-0.864958289,-0.609847887
LSAOZCAKUIANSQ-UHFFFAOYSA-N,-2.043334719,-2.069758487,-2.521814695,-2.408739571,-2.282802821,-2.16570388,-2.172685091,-2.325028205
LWBHHRRTOZQPDM-UHFFFAOYSA-N,-1.832520402,-1.811561867,-3.452798207,-2.340361797,-2.819313946,-3.035756917,-2.85639358,-2.208632733
LZTRCELOJRDYMQ-UHFFFAOYSA-N,-1.214257841,-1.163514406,-1.440539758,-1.215746371,-1.252180877,-1.092730707,-1.308333834,-1.168784357
MBPFAXVDKWKWNX-UHFFFAOYSA-N,-0.445303046,-0.450175074,-0.530483651,-0.219373703,-0.63517883,-0.421924744,-0.626613637,0.073486688
MBUKWVQKGHOBTG-UHFFFAOYSA-N,-0.134108662,-0.129750514,-0.359238711,0.263809649,-0.047237626,0.034138368,-0.020033664,0.09197227
MCJGNVYPOGVAJF-UHFFFAOYSA-N,0.067338987,0.069560753,0.253566869,0.32341403,0.332493787,0.224330537,0.290107181,0.161521548
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-0.409544609,-0.433312486,-0.50185942,-0.054538501,-0.316740977,-0.300985556,-0.315390983,-0.146052562
MWPLVEDNUUSJAV-UHFFFAOYSA-N,-1.146747535,-1.175158182,-0.703344151,-1.158780559,-1.485428751,-1.266944714,-1.512505435,-1.159244856
NMIUCCCFPUEILN-UHFFFAOYSA-N,-1.90433045,-1.88477489,-2.501912635,-2.45852043,-2.558219226,-2.360533423,-2.47375906,-2.172947104
NODIXMQDAGGDJQ-UHFFFAOYSA-N,-2.141284935,-2.173135874,-2.938063495,-2.292451552,-2.420379698,-2.894631792,-2.387278859,-2.38317429
NRJPVIOTANUINF-UHFFFAOYSA-N,-1.715251262,-1.703023788,-1.372193538,-1.859229419,-2.389183871,-1.969249869,-2.336048467,-1.791710106
NUVPXAUGUJCZAI-QZQOTICOSA-N,-0.236874717,-0.250531146,-0.117707155,-0.124610159,-0.599349364,-0.414596724,-0.672043278,-0.292851817
OCBCARWPRGBCGF-UHFFFAOYSA-N,-1.440393114,-1.440843871,-0.645595336,-1.543458922,-0.821471193,-1.202230041,-0.830390393,-1.459592772
ODTSCSXVTPSHPK-UHFFFAOYSA-N,-1.528856183,-1.526434254,-1.332633274,-1.842591154,-1.668740748,-1.533822025,-1.654024952,-1.821429816
OPOPTXYBSHDZOM-UHFFFAOYSA-N,-0.187824807,-0.263477935,0.013595655,0.106738957,-0.157127563,-0.208074411,-0.24885766,-0.050687508
