Name,SMILES,MW
CFBYEGUGFPZCNF-UHFFFAOYSA-N,O=[N+]([O-])c1c(OC)cccc1,153.1372
CGBCCZZJVKUAMX-UHFFFAOYSA-N,ClC1=CC2C(C3(C1=CC(=O)C=C3)C)CCC1(C2CCC1(OC(=O)C)C(=O)C)C,402.9169
CHMBIJAOCISYEW-UHFFFAOYSA-N,O=C(Nc1ccc(N)cc1)C,150.1798
CHNUNORXWHYHNE-UHFFFAOYSA-N,Clc1c(OC(C)C)cc(n2c(=O)oc(C(C)(C)C)n2)c(Cl)c1,345.2248
CHNXZKVNWQUJIB-UHFFFAOYSA-N,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,312.451
CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,92.1402
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1C(=C(O)[C@@H]([C@@H](O)CO)O1)O,176.1256
CIWBSHSKHKDKBQ-UHFFFAOYSA-N,O=C1C(=C(O)C(C(O)CO)O1)O,176.1256
CJHXCRMKMMBYJQ-UHFFFAOYSA-N,Oc1c(CCCC)c(C)nc(N(C)C)n1,209.2906
CKRZKMFTZCFYGB-UHFFFAOYSA-N,ONc1ccccc1,109.1274
CMSMOCZEIVJLDB-UHFFFAOYSA-N,ClCCN(CCCl)P1(=O)OCCCN1,261.0875
CMVQZRLQEOAYSW-UHFFFAOYSA-N,Clc1c(Cl)cccc1[N+](=O)[O-],192.0012
CNGDZXAWOIPFFX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,297.3432
COLNVLDHVKWLRT-UHFFFAOYSA-N,O=C(O)C(N)Cc1ccccc1,165.1914
CPGPAVAKSZHMBP-UHFFFAOYSA-N,Cc1c2c(cc3c1cccc3)cccc2,192.2598
CPNGPNLZQNNVQM-UHFFFAOYSA-N,n1c2nccnc2cnc1,132.1244
CQRYARSYNCAZFO-UHFFFAOYSA-N,OCc1c(O)cccc1,124.139
