X,Y,Z,ESP,ESP2,ESP3
-13.4350223,-1.4791582,-0.4975309,0.0183720579,0.4999291199,11.5286500804
-13.3809738,-1.4243584,-0.3685479,0.0183977438,0.5006280677,11.5447682138
-13.4052277,-1.2216213,-2.4757238,0.0164805037,0.4484573111,10.3416808699
-13.4781078,-1.2429778,-2.2627420,0.0171859045,0.4676522444,10.7843269585
-13.5430172,-1.1477551,-1.9065551,0.0183495463,0.4993165467,11.5145237931
-13.5181800,-1.2157782,-2.0956101,0.0177207544,0.4822062497,11.1199506061
-13.5730562,-1.1708440,-1.6730265,0.0187644176,0.5106057701,11.7748597120
-13.5802088,-1.1762024,-1.4261917,0.0191051315,0.5198770647,11.9886610412
-13.5597996,-1.1598726,-1.1613106,0.0193745659,0.5272087482,12.1577338379
-13.5252459,-1.2157782,-0.8993187,0.0193168532,0.5256383070,12.1215185685
-13.4854958,-1.2714251,-0.7084039,0.0191248288,0.5204130573,12.0010213379
-13.4382193,-0.9831056,-2.2401291,0.0177132061,0.4820008499,11.1152139680
-13.4903570,-1.0256035,-2.0677871,0.0181691699,0.4944082543,11.4013357776
-13.5083127,-0.9657782,-1.9015150,0.0186855493,0.5084596525,11.7253690168
-13.5349078,-0.9657782,-1.6618869,0.0191760040,0.5218056055,12.0331342920
-13.5401874,-0.9657782,-1.4124332,0.0195427173,0.5317843812,12.2632505392
-13.5210450,-0.9657782,-1.1498804,0.0197781637,0.5381912033,12.4109955040
-13.5202734,-1.1050777,-0.9584039,0.0195568398,0.5321686746,12.2721125636
-13.4918320,-0.9657782,-0.9584039,0.0198359617,0.5397639680,12.4472643533
-13.4488141,-0.9861555,-0.7554791,0.0197975356,0.5387183389,12.4231515512
-13.3860753,-1.1717792,-0.4545474,0.0191903485,0.5221959381,12.0421355822
-13.4291912,-0.7315225,-1.9856950,0.0187606276,0.5105026376,11.7724814171
-13.4660196,-0.7432019,-1.7583706,0.0192969886,0.5250977643,12.1090533478
-13.5085196,-0.8433239,-1.5859496,0.0194837576,0.5301800069,12.2262527535
-13.5113374,-0.8461417,-1.4584039,0.0196672287,0.5351725075,12.3413826589
-13.4718943,-0.7157782,-1.5036619,0.0197731231,0.5380540413,12.4078324690
-13.5059809,-0.8407853,-1.3334110,0.0198234431,0.5394233180,12.4394087696
-13.4708645,-0.7437129,-1.2509022,0.0200449412,0.5454505884,12.5784010562
-13.4332321,-0.7331389,-0.9931772,0.0202019599,0.5497232845,12.6769318612
-13.3809738,-0.8769561,-0.6195818,0.0199309052,0.5423475102,12.5068423070
-13.3809738,-0.5821303,-1.9584039,0.0189391723,0.5153610866,11.8845200169
-13.3809738,-0.5813995,-1.0052241,0.0203638029,0.5541272569,12.7784899716
