X,Y,Z,ESP,ESP2,ESP3
-11.2020348,-1.6319179,1.2149479,-0.0570552831,-1.5525532071,-35.8027607188
-11.2131986,-1.6400704,1.4585373,-0.0578352236,-1.5737764660,-36.2921811499
-11.2090611,-1.6370341,1.7115307,-0.0584978413,-1.5918072101,-36.7079803709
-11.1882927,-1.6218547,1.9754809,-0.0590342065,-1.6064024513,-37.0445549422
-11.1297568,-1.7997436,2.1929026,-0.0596701092,-1.6237062430,-37.4435902279
-11.1475119,-1.5919787,2.2535549,-0.0594537235,-1.6178180893,-37.3078060529
-11.0963908,-1.7117597,2.4132825,-0.0598788726,-1.6293869848,-37.5745913666
-11.0353321,-1.6682764,2.6596885,-0.0600501901,-1.6340487690,-37.6820947658
-10.9885107,-1.6584975,2.8047166,-0.0601368138,-1.6364059213,-37.7364520377
-11.0553771,-1.4253699,0.4054845,-0.0532542924,-1.4491229884,-33.4176009995
-11.1152304,-1.5352171,0.6361131,-0.0545417150,-1.4841555392,-34.2254715615
-11.1187950,-1.3180974,0.6184686,-0.0543298426,-1.4783901989,-34.0925195324
-11.1910799,-1.3734227,0.9708684,-0.0558854847,-1.5207213734,-35.0687005135
-11.1556181,-1.3674863,0.7757952,-0.0550871078,-1.4989964337,-34.5677110375
-11.2188667,-1.3939663,1.2047548,-0.0567304394,-1.5437137597,-35.5989180279
-11.2320014,-1.4036759,1.4469292,-0.0574611493,-1.5635973883,-36.0574458217
-11.2296669,-1.4019382,1.6985120,-0.0580726883,-1.5802382101,-36.4411926458
-11.2098526,-1.3872156,1.9615413,-0.0585686307,-1.5937334879,-36.7524014336
-11.1698801,-1.3573952,2.2387274,-0.0589348859,-1.6036997985,-36.9822302304
-11.1181335,-1.4706026,2.4429026,-0.0594472306,-1.6176414066,-37.3037316481
-11.0693714,-1.4264698,2.6358682,-0.0595248071,-1.6197523724,-37.3524117215
-11.0551808,-1.1761291,0.4058683,-0.0530716881,-1.4441540731,-33.3030149833
-11.1127132,-1.0620701,0.6226553,-0.0539345353,-1.4676333392,-33.8444602248
-11.1900384,-1.1220552,0.9714489,-0.0554288406,-1.5082954541,-34.7821517411
