X,Y,Z,ESP,ESP2,ESP3
-9.7260792,0.4856710,0.1716045,-0.0304265298,-0.8279479808,-19.0929517317
-9.7169439,0.4653678,-0.0297464,-0.0300942494,-0.8189061707,-18.8844424429
-9.7245826,0.4871646,0.4244733,-0.0307258167,-0.8360919916,-19.2807572562
-9.7159597,0.4055074,0.6674967,-0.0309277382,-0.8415865535,-19.4074649809
-9.6961452,0.3448729,0.8571190,-0.0309881244,-0.8432297463,-19.4453579435
-9.6541346,0.3859710,1.0567102,-0.0309080578,-0.8410510234,-19.3951153520
-9.6352536,0.6396385,-0.4245569,-0.0289646524,-0.7881682733,-18.1756090325
-9.6751218,0.6284444,-0.1988379,-0.0295898380,-0.8051804378,-18.5679192302
-9.6960087,0.6555074,0.0509491,-0.0300779067,-0.8184614618,-18.8741872038
-9.7031907,0.6555074,0.2954426,-0.0304446947,-0.8284422716,-19.1043503580
-9.7079949,0.5275910,0.6071190,-0.0308130424,-0.8384655220,-19.3354922176
-9.6933575,0.6555074,0.5482945,-0.0306713917,-0.8346110107,-19.2466049931
-9.6695780,0.6304087,0.7982185,-0.0307831178,-0.8376512335,-19.3167142626
-9.5800785,0.6089704,1.2371594,-0.0305972309,-0.8325929925,-19.2000683451
-9.5802171,0.6563384,-0.6430372,-0.0282209102,-0.7679300173,-17.7089033282
-9.6273492,0.8912285,-0.1705639,-0.0293048415,-0.7974252897,-18.3890811010
-9.6514310,0.8840633,0.0641909,-0.0298090807,-0.8111463366,-18.7054962520
-9.6585876,0.8820426,0.3085002,-0.0301741395,-0.8210800908,-18.9345742789
-9.6464318,0.8855882,0.5647927,-0.0303944928,-0.8270762100,-19.0728482008
-9.5966953,0.6814139,1.1264018,-0.0306181741,-0.8331628869,-19.2132104351
-9.5833472,0.9366678,-0.3709380,-0.0287007986,-0.7809884454,-18.0100381138
-9.5879276,0.9824851,0.8433751,-0.0303141162,-0.8248890512,-19.0224110742
-9.5805355,1.1569580,0.1072147,-0.0293630634,-0.7990095864,-18.4256158846
-9.5827869,1.1619023,0.3589358,-0.0297052785,-0.8083217346,-18.6403593222
-9.3416247,-1.5982498,-0.4016715,-0.0266196249,-0.7243568289,-16.7040808003
-9.3772178,-1.6112800,-0.1729992,-0.0272831271,-0.7424116437,-17.1204351079
-9.4040614,-1.6084466,0.0611599,-0.0278503934,-0.7578477425,-17.4764003336
-9.4113186,-1.6095151,0.3053196,-0.0282508352,-0.7687443205,-17.7276816240
-9.3975409,-1.6133013,0.5640257,-0.0284704539,-0.7747204485,-17.8654945375
-9.3670843,-1.6043690,0.8326765,-0.0285401205,-0.7766161727,-17.9092110162
-9.3735203,-1.3621295,-0.6690198,-0.0265267809,-0.7218304148,-16.6458202531
-9.4302199,-1.3647948,-0.4518003,-0.0273593002,-0.7444844176,-17.1682344528
-9.4422252,-1.4566394,-0.1961709,-0.0278280856,-0.7572407182,-17.4624020062
-9.5149295,-1.2997140,-0.1043056,-0.0285658891,-0.7773173722,-17.9253810767
-9.4574908,-1.4719050,-0.0202933,-0.0282036806,-0.7674611766,-17.6980915957
-9.4659419,-1.4803561,0.1634283,-0.0285305330,-0.7763552833,-17.9031947578
-9.5307958,-1.3106872,0.1369697,-0.0290183570,-0.7896296500,-18.2093092099
-9.4657335,-1.4801476,0.4151280,-0.0288615370,-0.7853623613,-18.1109031036
-9.5321617,-1.3116200,0.3868380,-0.0293548022,-0.7987847893,-18.4204319342
-9.4564723,-1.4708865,0.6071190,-0.0290237058,-0.7897751991,-18.2126656554
-9.5174370,-1.3014795,0.6469822,-0.0295639445,-0.8044758396,-18.5516707944
-9.4387681,-1.4531822,0.7995498,-0.0291186282,-0.7923581683,-18.2722303950
-9.4873219,-1.2786848,0.9031754,-0.0296314703,-0.8063133099,-18.5940439054
-9.4276214,-1.3620522,1.0396205,-0.0293168401,-0.7977517867,-18.3966103061
-9.3381444,-1.3466360,1.3713200,-0.0289441902,-0.7876114684,-18.1627687937
-9.3760233,-1.1043771,-0.9295724,-0.0261319246,-0.7110858305,-16.3980440246
-9.4471809,-1.1194313,-0.7098981,-0.0271012639,-0.7374628943,-17.0063141293
-9.4634430,-1.2278571,-0.5262455,-0.0275079905,-0.7485304874,-17.2615391274
-9.4854457,-1.2767826,-0.3454236,-0.0279831741,-0.7614608893,-17.5597215550
-9.5542132,-1.0553241,-0.3576159,-0.0285025935,-0.7755950098,-17.8856624189
-9.5779849,-1.0925006,-0.1415036,-0.0289948152,-0.7889890434,-18.1945364573
-9.5587980,-1.0758190,0.8699756,-0.0301164536,-0.8195103788,-18.8983758261
-9.4615671,-1.2259812,1.1071190,-0.0296385059,-0.8065047597,-18.5984588473
-9.5056197,-1.0425943,1.1572180,-0.0300261670,-0.8170535539,-18.8417200448
-9.4251658,-1.1388955,1.3319605,-0.0296017612,-0.8055048841,-18.5754011455
-9.3348112,-1.0807123,1.6231375,-0.0291786796,-0.7939922489,-18.3099132245
-9.3511871,-0.8554510,-1.1561499,-0.0255206629,-0.6944525527,-16.0144711695
-9.4344687,-0.8678912,-0.9509727,-0.0265873830,-0.7234794819,-16.6838486800
-9.4668721,-0.9812862,-0.7796746,-0.0271229274,-0.7380523873,-17.0199081734
-9.5024657,-1.0374350,-0.6056438,-0.0277064721,-0.7539314455,-17.3860882943
-9.5576195,-0.8107492,-0.6131582,-0.0281135817,-0.7650094607,-17.6415536319
-9.4649429,-0.9793570,1.3571190,-0.0299027443,-0.8136950527,-18.7642710951
-9.4967185,-0.7814811,1.4034482,-0.0301785231,-0.8211993752,-18.9373250443
-9.5700553,-0.8362793,1.1105983,-0.0304200146,-0.8277706923,-19.0888633579
-9.4310679,-0.8634367,1.5331072,-0.0298295935,-0.8117045183,-18.7183682391
-9.3970992,-0.6172861,-1.1659425,-0.0258914745,-0.7045428510,-16.2471591930
-9.4547524,-0.6530195,-1.0175549,-0.0266196158,-0.7243565825,-16.7040751194
-9.4914885,-0.7777116,-0.8524404,-0.0272057884,-0.7403071509,-17.0719043065
-9.5283458,-0.5574760,-0.8642648,-0.0274495907,-0.7469413482,-17.2248926727
-9.4476700,-0.6484999,1.6071190,-0.0299881827,-0.8160199477,-18.8178844991
-9.5466985,-0.5774487,1.3654608,-0.0304775771,-0.8293370478,-19.1249844079
-9.3406524,-0.5877152,1.8672478,-0.0294168074,-0.8004720363,-18.4593408103
-9.4208260,-0.3667054,-1.1918081,-0.0260219043,-0.7080920254,-16.3290051736
-9.4739757,-0.4883898,-1.0367782,-0.0267168046,-0.7270012245,-16.7650620684
-9.5579623,-0.3087115,-0.8620036,-0.0276735477,-0.7530355279,-17.3654279254
-9.4881808,-0.2998999,-1.0509833,-0.0268093074,-0.7295183521,-16.8231084634
-9.4733879,-0.4878021,1.6071190,-0.0301483794,-0.8203791235,-18.9184095736
-9.4929962,-0.3027089,1.6071190,-0.0302821216,-0.8240184329,-19.0023341196
-9.5781322,-0.3433047,1.3578363,-0.0306593462,-0.8342832360,-19.2390463227
-9.4031483,-0.3595588,1.8016731,-0.0298115366,-0.8112131650,-18.7070373526
-9.3300785,-0.2885213,1.9603176,-0.0294039509,-0.8001221929,-18.4512732236
-9.3361469,-0.0961304,-1.3972234,-0.0249293879,-0.6783631412,-15.6434401817
-9.4342412,-0.1210702,-1.1987211,-0.0261193579,-0.7107438726,-16.3901582790
-9.5642196,-0.0820359,-0.8797292,-0.0276754133,-0.7530862921,-17.3665985767
-9.4969842,-0.0531597,-1.0597867,-0.0268498509,-0.7306215987,-16.8485499583
-9.5051067,-0.0572860,1.6071190,-0.0303554508,-0.8260138218,-19.0483489240
-9.4453732,-0.1500574,1.7418243,-0.0300577953,-0.8179142045,-18.8615671381
-9.3928137,-0.1253119,1.8571190,-0.0297670982,-0.8100039349,-18.6791518178
-9.3300785,-0.0944926,1.9812223,-0.0294060288,-0.8001787370,-18.4525771630
-9.4341716,0.1277404,-1.1983443,-0.0261198623,-0.7107575981,-16.3904747969
