StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,PM6_Volume,PM6_E0_gas,PM6_E0_solv,PM6_DeltaE0_sol,PM6_G_gas,PM6_G_solv,PM6_DeltaG_sol,PM6_gas_dip,PM6_solv_dip,PM6_HOMO,PM6_LUMO,PM6_LsoluHsolv,PM6_LsolvHsolu,PM6_SASA,PM6_O_charges,PM6_C_charges,PM6_Most_neg,PM6_Most_pos,PM6_Het_charges
VDTNNGKXZGSZIP-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)N,Train,-2.18,271.3336,144,177.829,-1217.520007,-1217.546235,-0.02622816,-1217.285143,-1217.312259,-0.027116,-1196.896252,-1196.918144,-0.02189211,-1196.61506,-1196.635486,-0.020426,6.4209,10.7921,-0.22958,-0.03508,0.28419,0.2545,515.7579346,-2.63799,-2.26893,-0.97922,2.33263,-2.74853,35,23505,37768,38597,0.457803007,0.557994016,0.797653573,3,-25.16284201,-373.9205706,348.7577286,7662,0.045517845,0.022193189,238.943,-0.197751415,-0.2276749,-0.029923484,0.011438,-0.021115,-0.032553,6.21,9.8501,-0.33507,-0.00819,0.31108,0.35999,511.8875732,-2.643785,-1.314787,-0.997204,2.633774,-1.876086
VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,Train,-0.4,28.0536,-169,36.682,-78.59326888,-78.59471118,-0.001442299,-78.563049,-78.564581,-0.001532,-77.07254696,-77.06841914,0.004127819,-77.034077,-77.029932,0.004145,0,0,-0.27744,-0.00797,0.3113,0.30236,168.6442261,0,-0.90062,-0.45031,0.22515,0,6,6824.5,8332,10896.5,0.737288102,0.889830508,0.890449471,6,-1.863740271,-8.685679074,6.821938802,194,-0.022922565,0.001728082,59.649,2.51E-02,2.45E-02,-0.000645569,0.050758,0.049931,-0.000827,0,0,-0.39235,0.04254,0.36181,0.41727,169.5886688,0,-0.590244,-0.295122,0.147561,0
VGPYEHKOIGNJKV-UHFFFAOYSA-N,COC(=O)NS(=O)(=O)c1ccc(cc1)N,Train,-1.66,230.238,144,154.796,-1119.440183,-1119.461223,-0.02104016,-1119.296323,-1119.318348,-0.022025,-1100.687387,-1100.702992,-0.01560472,-1100.517438,-1100.535,-0.017562,6.6798,10.2905,-0.23511,-0.04095,0.27832,0.26003,420.4824524,-3.14831,-0.55135,-0.96997,2.33285,-2.58024,25,22339.5,28429,30633,0.598916667,0.860909233,0.956832536,2,-10.87446347,-308.9816989,298.1072354,7065,0.042194938,0.01952417,192.189,-0.23868907,-0.264432631,-0.025743561,-0.114052,-0.141005,-0.026953,7.5152,11.0868,-0.34072,-0.01496,0.30431,0.36564,417.6249084,-3.009933,-0.358575,-0.978466,2.632009,-1.707321
VGQLNJWOULYVFV-UHFFFAOYSA-N,COC(=O)C1C2C=CC(C2)C1C(=O)OC,Train,-1.2,210.2292,38,164.364,-728.5024787,-728.5130666,-0.010587894,-728.306105,-728.317129,-0.011024,-714.9837692,-714.983725,4.43E-05,-714.742828,-714.745299,-0.002471,2.7441,3.7959,-0.2504,-0.01773,0.30154,0.27532,421.4405212,-2.40364,-1.1521,-0.64978,0.84996,-2.40364,29,23556.5,25781.5,31880,0.661947992,0.707679164,0.867265698,9,-29.87024019,-136.6766168,106.8063766,2283,0.025962333,0.004097705,230.749,-0.232782906,-0.244653224,-0.011870317,-0.060176,-0.072716,-0.01254,2.9112,4.0488,-0.37545,0.01653,0.3358,0.40037,422.4614258,-2.015793,-0.262399,-0.571684,0.640137,-2.015793
VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,Test,-2.06,324.394,188.5,227.347,-1392.234834,-1392.258785,-0.02395058,-1391.944797,-1391.969457,-0.02466,-1368.405608,-1368.42565,-0.02004152,-1368.055894,-1368.076565,-0.020671,5.6224,7.3116,-0.27101,-0.08965,0.22962,0.29593,572.0822144,-3.20482,-3.07302,-0.96633,2.33437,-2.46857,42,27782.5,40501,40611,0.480990389,0.650056915,0.721539732,4,119.5751241,-305.939816,425.5149401,8982,0.036406305,0.02127869,327.272,-0.258245319,-0.286967387,-0.028722068,0.000544,-0.029925,-0.030469,2.667,4.1799,-0.36815,-0.03404,0.28523,0.39307,578.6627808,-3.13899,-1.520081,-0.973456,2.596386,-1.97375
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,Train,-3.84,86.1766,-95,110.371,-237.0925992,-237.0929193,-0.00032002,-236.935652,-236.936498,-0.000846,-232.6249023,-232.6207624,0.004139921,-232.428689,-232.424817,0.003872,0,0,-0.31067,0.01824,0.33751,0.33559,310.0846252,0,-3.24682,-0.68794,0.23766,0,20,10816.5,21106.5,21263,0.438818565,0.470320984,0.888888889,0,0,0,0,0,0,0,180.38,-5.73E-02,-5.82E-02,-0.000955859,0.08179,0.079937,-0.001853,0,0,-0.4045,0.1499,0.46917,0.42942,309.355957,0,-1.930708,-0.470379,0.148935,0
VLYWMPOKSSWJAL-UHFFFAOYSA-N,COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N,Train,-3.28,280.3008,182,171.204,-1269.194354,-1269.216819,-0.02246507,-1269.007763,-1269.031118,-0.023355,-1247.668196,-1247.692622,-0.02442601,-1247.447044,-1247.47213,-0.025086,7.0695,9.8619,-0.23462,-0.06518,0.25409,0.25954,485.3935547,-2.47559,-1.14137,-0.96897,2.31636,-2.50845,31,26423,32174,35240,0.543580491,0.673460485,0.789422663,6,3.109381765,-286.6231281,289.7325099,4643,0.046170705,0.020537537,267.014,-6.64E-02,-9.65E-02,-0.030178397,0.098429,0.066854,-0.031575,8.4836,12.3701,-0.31859,-0.02092,0.29835,0.34351,490.9176331,-2.329814,-0.951782,-0.988407,2.626576,-1.503858
VOEYXMAFNDNNED-UHFFFAOYSA-N,Cc1cccc(c1)OC(=O)NC,Train,-1.8,165.1914,75.5,136.248,-554.8240392,-554.8359598,-0.011920667,-554.677238,-554.689835,-0.012597,-544.4647437,-544.4656311,-0.00088742,-544.282472,-544.283905,-0.001433,2.5249,3.5872,-0.24216,-0.01463,0.30464,0.26708,383.9714355,-1.27495,-1.02208,-0.70823,0.9308,-1.9515,23,18045,24782,29655.5,0.53159115,0.667780187,0.893617126,9,-52.14664067,-170.1403915,117.9937508,2886,0.034614265,0.013166116,193.579,-0.109457419,-0.120150813,-0.010693394,0.019646,0.008008,-0.011638,2.3116,3.2826,-0.33605,0.00958,0.32885,0.36097,380.1657715,-1.064634,-0.579795,-0.602204,0.709248,-1.483023
VOKSWYLNZZRQPF-GDIGMMSISA-N,CC(=CCN1CC[C@]2(C)[C@@H](C)[C@H]1Cc1ccc(cc21)O)C,Train,-3.8032,285.4284,146.15,257.15,-870.1068828,-870.1154563,-0.00857349,-869.730634,-869.739563,-0.008929,-853.8635703,-853.8648364,-0.001266173,-853.403736,-853.404767,-0.001031,2.524,3.6473,-0.19818,-0.00669,0.31258,0.2231,537.7850952,-0.73241,-5.54215,-0.73241,0.52212,-1.30871,48,26616.5,37805.5,44412,0.547614403,0.62687162,0.865685768,7,-50.11181075,-110.9078285,60.7960177,3078,-0.034161812,0.009411403,353.466,7.68E-02,6.57E-02,-0.011095681,0.415575,0.404304,-0.011271,3.9424,5.0851,-0.30516,0.01839,0.33766,0.33008,541.609436,-0.513259,-3.409268,-0.516121,0.3473,-0.912573
VREFGVBLTWBCJP-UHFFFAOYSA-N,Cc1nnc2CN=C(c3ccccc3)c3cc(ccc3n12)Cl,Test,-3.433,308.7695,228.25,211.071,-1334.848387,-1334.867536,-0.01914892,-1334.62545,-1334.64475,-0.0193,-1312.969124,-1312.988776,-0.01965246,-1312.701944,-1312.720772,-0.018828,5.6671,8.4738,-0.25595,-0.08116,0.23811,0.28087,517.0610352,0,-1.90883,-0.7373,0.38584,-1.55349,35,26982.5,34072.5,41062,0.661710037,0.761687121,0.827647909,3,89.86779179,-249.0887754,338.9565672,9952,0.033952778,0.01066889,297.984,0.178150215,0.156671891,-0.021478323,0.382099,0.359849,-0.02225,6.2639,9.0325,-0.35898,-0.04719,0.27208,0.3839,519.3322144,0,-1.169748,-0.495425,0.238531,-1.195699
