StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
RBOXVHNMENFORY-DNJOTXNNSA-N,COc1ccc2C[C@@H]3[C@@H]4CC[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-0.349532325,301.386,112,355.361,-0.167525284,-0.173523988,-0.005998704,0.143553,0.137105,-0.006448,3.5931,4.1883,-0.30799,0.18434,0.00402,0.14908,488.1123352,-1.341731,-1.936996,-0.573348,0.330617,-1.675711,45
RCNCKKACINZDOI-UHFFFAOYSA-N,Cc1cc(O)cc(O)c1C,-1.622435042,138.166,136,172.415,-0.136154518,-0.140497555,-0.004343036,-0.022708,-0.028067,-0.005359,2.3062,2.5851,-0.3231,0.19112,0.0108,0.16419,319.4685974,-0.966457,-1.086536,-0.534532,0.442286,-0.966457,20
RCOUWKSZRXJXLA-UHFFFAOYSA-N,CCCC1(CCC)C(=O)NC(=O)NC1=O,-2.066774265,212.249,146,233.118,-0.25535961,-0.260813281,-0.005453671,-0.060634,-0.066586,-0.005952,2.0002,2.1432,-0.40431,0.15711,-0.02321,0.2454,411.4251099,-1.487256,-0.116463,-0.59462,0.721653,-2.673586,31
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c1cccc2ccccc12,-0.324273039,173.171,57,155.286,0.05884002,0.054717538,-0.004122483,0.164553,0.160102,-0.004451,5.3815,6.1297,-0.35288,0.12175,-0.05857,0.19397,342.6646118,-0.978368,-1.03923,-0.494113,0.843021,-0.135347,20
RJWYTISHBMNMOZ-UHFFFAOYSA-N,Nc1ccc2c(Cc3cc(Br)ccc23)c1,-1.016759388,260.133,144,200.888,0.073628268,0.069374426,-0.004253842,0.216432,0.211906,-0.004526,4.3059,4.7491,-0.30393,0.16487,-0.01545,0.14502,417.177948,0,-1.239988,-0.511337,0.311627,-0.634224,25
RKUNBYITZUJHSG-SPUOUPEWSA-N,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)c3ccccc3,-0.554508694,289.375,115,374.567,-0.197132555,-0.203048614,-0.00591606,0.101457,0.09261,-0.008847,4.1181,1.7363,-0.33379,0.18555,0.00523,0.17488,544.0284424,-1.604926,-1.700735,-0.556301,0.643278,-1.957204,44
RLHYRFVLZOSXDH-UHFFFAOYSA-N,CC(=O)Oc1ccc(OC(C)=O)c2C(=O)c3ccccc3C(=O)c12,-1.723331411,324.29,237,271.872,-0.282429215,-0.290091845,-0.00766263,-0.092377,-0.100499,-0.008122,1.0777,1.0383,-0.35673,0.11059,-0.06973,0.19782,526.9951172,-2.948381,0.598948,-0.58673,0.730568,-2.948381,36
RMBFBMJGBANMMK-UHFFFAOYSA-N,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.464896151,182.136,69.5,137.696,0.00988507,0.0034487,-0.00643637,0.096159,0.088709,-0.00745,5.7844,6.5824,-0.40745,0.10793,-0.07239,0.24854,342.7502136,-1.914952,-1.0023,-0.552537,0.868111,-0.18688,19
RNBWGWPKGHGLOY-AATRIKPKSA-N,CCOC(=O)\C=C(/C)NC(C)=O,-0.035717002,171.196,110,189.784,-0.233163987,-0.239890768,-0.006726782,-0.0885,-0.095735,-0.007235,4.6603,5.3702,-0.35713,0.16826,-0.01206,0.19822,398.8513794,-1.603759,-0.405165,-0.638693,0.728332,-2.142269,25
RNBWGWPKGHGLOY-WAYWQWQTSA-N,CCOC(=O)/C=C(/C)NC(C)=O,0.371768325,171.196,63,222.268,-0.239428092,-0.244725677,-0.005297585,-0.09435,-0.102174,-0.007824,1.208,1.3022,-0.35439,0.16703,-0.01329,0.19548,397.7137451,-1.633364,-0.398623,-0.641049,0.722025,-2.17549,25
RNDOMZKEPZZDQT-UHFFFAOYSA-N,CCOC(=O)C(=NNc1ccc2ccccc2c1)C#N,-0.773764165,267.287,124,245.125,0.026524478,0.020486182,-0.006038295,0.215448,0.208656,-0.006792,5.3684,6.2493,-0.32918,0.13143,-0.04889,0.17027,523.8717651,-1.015381,-0.856602,-0.588143,0.660373,-1.410896,33
RRGUKTPIGVIEKM-UHFFFAOYSA-N,O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1,-2.961194289,369.467,158,375.645,-0.049197321,-0.060163737,-0.010966416,0.32089,0.306932,-0.013958,8.304,11.8612,-0.31013,0.17124,-0.00908,0.15122,655.5966187,-0.989285,-2.312116,-0.579923,0.61914,-2.052175,54
RRKTZKIUPZVBMF-IBTVXLQLSA-N,COc1cc2N3[C@H]4[C@@H]5[C@H](CC3=O)OCC=C6CN7CC[C@]4([C@@H]7C[C@H]56)c2cc1OC,-1.374156545,394.47,175,354.54,-0.192922243,-0.200999431,-0.008077188,0.18412,0.175781,-0.008339,2.4262,4.5067,-0.29198,0.18515,0.00483,0.13307,588.6096191,-1.807985,-1.485381,-0.561168,0.640568,-2.576452,55
RTVRUUUUWHGNMM-UHFFFAOYSA-N,CCOC(=O)C(=NNc1ccc(cc1)[N+]([O-])=O)C#N,-1.768599812,262.225,190,222.504,-0.005757502,-0.013864232,-0.00810673,0.141083,0.132335,-0.008748,6.1731,6.6986,-0.36326,0.1035,-0.07682,0.20435,496.0647278,-1.960895,-0.371181,-0.570846,0.852573,-1.520784,29
RTZZCYNQPHTPPL-UHFFFAOYSA-N,Oc1cccc(c1)[N+]([O-])=O,-0.748909792,139.111,97,130.993,-0.039062962,-0.044010272,-0.004947309,0.026135,0.020863,-0.005272,3.926,4.442,-0.36484,0.12354,-0.05678,0.20593,296.1138306,-1.41189,-0.49139,-0.47663,0.816181,-0.595709,15
RYFIDGIWTNANMO-DIVCQZSQSA-N,c1ccc(cc1)[C@]2(c3c(cccc3)[C@](c4c2cccc4)(O)c5ccccc5)O,-2.08450955,364.444,263,380.002,0.021278701,0.017094506,-0.004184195,0.328792,0.324091,-0.004701,2.6675,2.9989,-0.34135,0.17167,-0.00865,0.18244,591.7463379,-1.147607,-2.343412,-0.576064,0.325223,-1.147607,48
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,-1.279463121,194.193,235,201.594,-0.076446217,-0.083922969,-0.007476752,0.055484,0.04646,-0.009024,3.8812,4.5073,-0.33575,0.15959,-0.02073,0.17684,375.6306763,-1.085701,0.455512,-0.543574,0.688178,-2.240797,24
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,-1.908809846,151.165,170,172.347,-0.113496261,-0.119670031,-0.00617377,-0.005486,-0.012417,-0.006931,2.8445,3.2735,-0.31205,0.17818,-0.00214,0.15314,344.5138245,-1.057039,-0.386317,-0.623273,0.661089,-1.544704,20
RZYNKBXUQOCKSI-UHFFFAOYSA-N,Cc5ccc(N(/C(=N/c1ccccc1)Nc2ccccc2)c4nc3cc(C)ccc3[nH]4)cc5,-1.789426964,431.54,176,406.63,0.224803326,0.21812704,-0.006676286,0.597691,0.586859,-0.010832,2.9662,3.4077,-0.30972,0.16588,-0.01444,0.15081,752.6567993,0,-2.25725,-0.53305,0.534877,-2.130144,58
SAMVPMGKGGLIPF-UHFFFAOYSA-N,OC(C(O)=O)c1cccc(Cl)c1,-1.837930711,186.595,113,160.225,-0.189635584,-0.193983729,-0.004348145,-0.102301,-0.107052,-0.004751,1.0234,1.2351,-0.36202,0.15965,-0.02067,0.20311,353.6286621,-1.533949,0.03853,-0.518632,0.574167,-1.626998,19
SEDZROHEORUIGZ-OQLLNIDSSA-N,C\C(=N/Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)c2ccccc2,-0.211017704,346.256,112,233.494,0.075993845,0.067338907,-0.008654938,0.249216,0.239906,-0.00931,6.2963,6.8596,-0.37363,0.09724,-0.08308,0.21472,534.8366699,-2.916677,-1.312126,-0.551187,0.909565,-0.497342,35
SFVBWARTAYZWKI-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(NN=Cc2ccc(Br)cc2)c(c1)[N+]([O-])=O,-3.164522971,365.143,258,254.389,0.113055567,0.104574502,-0.008481065,0.263648,0.25429,-0.009358,7.4098,8.6453,-0.35881,0.10906,-0.07126,0.1999,527.961731,-1.980175,-1.091394,-0.540041,0.888474,-0.713851,31
SIOXPEMLGUPBBT-UHFFFAOYSA-N,OC(=O)c1ccccn1,-1.488236868,123.111,136,119.943,-0.077357692,-0.082714002,-0.00535631,-0.015358,-0.01973,-0.004372,5.7777,5.0461,-0.39705,0.13491,-0.04541,0.23814,286.1419373,-1.026139,0.222669,-0.540637,0.643409,-1.287468,14
SIZDUQQDBXJXLQ-JGVFFNPUSA-N,CC(=O)[C@H]1C[C@@H](CC(O)=O)C1(C)C,0.685732139,184.235,69.5,250.141,-0.24820404,-0.253906015,-0.005701975,-0.065347,-0.07118,-0.005833,2.7125,3.2878,-0.37117,0.19845,0.01813,0.21226,383.036438,-1.624265,-1.339445,-0.648163,0.667425,-1.624265,29
SKRVQRQCLHCKBW-UHFFFAOYSA-N,CCCOCN1C(=O)c2ccccc2C1=O,0.057020215,219.24,52.5,264.538,-0.158367315,-0.163821905,-0.00545459,0.013211,0.007258,-0.005953,3.5301,4.2098,-0.378,0.12823,-0.05209,0.21909,439.6509094,-1.426765,0.011369,-0.578644,0.636143,-2.005409,29
SLAMLWHELXOEJZ-UHFFFAOYSA-N,OC(=O)c1ccccc1[N+]([O-])=O,-1.78259426,167.121,146,102.088,-0.098304324,-0.104913191,-0.006608867,-0.027086,-0.033756,-0.00667,5.4631,6.5051,-0.40442,0.1152,-0.06512,0.24551,326.5837097,-1.942054,0.037305,-0.510691,0.835205,-1.106849,17
SLCVBVWXLSEKPL-UHFFFAOYSA-N,CC(C)(CO)CO,-0.568645966,104.149,125,140.705,-0.184631707,-0.188375885,-0.003744178,-0.066028,-0.070081,-0.004053,3.2231,3.6915,-0.37094,0.26408,0.08376,0.21203,278.70047,-1.151099,-1.016844,-0.587842,0.335907,-1.151099,19
