StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
WSWDNKINQWKQGR-OGLKEZPNSA-N,CCCCCCCCCCCCCCCC(=O)O[C@H]1CO[C@@H](c2ccccc2)OC1,-1.378778812,418.617,63.5,548.534,-0.350347321,-0.362910369,-0.012563048,0.164288,0.152824,-0.011464,3.0875,3.7967,-0.35421,0.28388,0.00573,0.35442,826.887207,-2.022468,-4.060911,-0.568538,0.679648,-2.022468,72
WUPFRVISYZBSJJ-UHFFFAOYSA-N,CCCCCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-2.554632308,424.586,138.25,574.847,-0.107521038,-0.129592757,-0.022071719,0.346035,0.325377,-0.020658,3.481,4.083,-0.28388,0.2825,0.00435,0.28409,791.2579346,-1.193421,-3.091694,-0.603786,0.719788,-2.719736,67
WURBFLDFSFBTLW-UHFFFAOYSA-N,c1ccc(cc1)C(=O)C(=O)c1ccccc1,-0.73614786,210.232,94.5,206.43,-0.009675206,-0.018263082,-0.008587876,0.13592,0.12544,-0.01048,3.8087,6.3608,-0.35758,0.23954,-0.03861,0.35779,422.6765747,-0.957951,-0.676465,-0.479903,0.431391,-0.957951,26
WWNULGCYTYKNHX-RPZUVYPISA-N,C1CCC2C(C1)C1CC2NC2CCCC(NC3CC(C4CCCCC34)NC3CCCC(C3)N1)N2,-2.756964929,437.503,249,620.54,-0.100321018,-0.116002321,-0.015681303,0.569533,0.552519,-0.017014,1.879,2.4578,-0.31694,0.36805,0.0899,0.31715,741.0513916,0,-4.792834,-0.589722,0.239313,-2.688477,85
WXUSZELTMZPETG-MHFDELKKSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC(=O)[C@]12C)[C@@](C)(CCC(=O)O)[C@H](CC3=O)C(=O)O,-0.709240079,450.529,276,467.634,-0.642114681,-0.674417544,-0.032302863,-0.197385,-0.232115,-0.03473,4.4021,7.0919,-0.36679,0.27466,-0.00349,0.367,664.7704468,-4.420476,-1.866407,-0.574664,0.679967,-4.420476,66
WZSCKTIRIGZORS-VOTSOKGWSA-N,C/C=C/CCCCCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-2.491131172,464.651,136,691.638,-0.094069883,-0.117371057,-0.023301174,0.411355,0.388146,-0.023209,4.5821,4.3443,-0.29504,0.28047,0.00232,0.29525,866.1248779,-1.200334,-3.715384,-0.602152,0.718926,-2.7219,74
XBCAPQKDLLQKQB-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccc(cc1)Cl)(C(c1ccccc1)(c1ccc(cc1)Cl)O)O,-2.638838549,435.35,175,406,-0.008598061,-0.018577063,-0.009979003,0.29371,0.282876,-0.010834,5.307,6.5676,-0.34126,0.26647,-0.01168,0.34147,648.7487183,-1.165409,-2.307584,-0.584819,0.338562,-1.388941,50
XCDXSSFOJZZGQC-UHFFFAOYSA-N,c1ccc2cc(ccc2c1)N(CCCl)CCCl,-0.923286124,268.186,55,268.188,0.020817803,0.011549383,-0.00926842,0.215747,0.205211,-0.010536,1.1211,1.2703,-0.30797,0.25891,-0.01924,0.30818,474.3807678,0,-1.745702,-0.444611,0.308236,-0.750858,32
XDOBGTROEORTFM-UHFFFAOYSA-N,CN(C)c1ccc(cc1)C(=NC(=O)c1ccccc1)c1ccc(cc1)N(C)C,-2.365817792,371.482,179,428.123,0.091730188,0.070838115,-0.020892072,0.433811,0.412407,-0.021404,4.8515,10.404,-0.30257,0.26451,-0.01364,0.30278,685.8338623,-0.590159,-2.363789,-0.590159,0.659763,-1.695736,53
XECWCIGULVRDKS-UHFFFAOYSA-N,c1ccc(cc1)C(C=CC(c1ccccc1)(c1ccccc1)O)(c1ccccc1)O,-1.714775632,392.497,97.75,463.26,0.043393585,0.032393046,-0.011000539,0.3943,0.38019,-0.01411,3.2035,3.8382,-0.34453,0.27476,-0.00339,0.34474,665.7039795,-1.190543,-2.996221,-0.598456,0.336822,-1.190543,54
XEFQLINVKFYRCS-UHFFFAOYSA-N,c1cc(c(cc1Cl)Cl)Oc1ccc(cc1O)Cl,0.885787518,289.545,57.25,228.995,-0.082942458,-0.089425127,-0.00648267,0.021737,0.01631,-0.005427,1.7163,3.4217,-0.34305,0.24689,-0.03126,0.34326,445.0209045,-0.823127,-0.489258,-0.455124,0.360698,-1.022944,24
XENLSUWTYBHJFY-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)NC(=O)N,-2.98802994,272.388,159.5,375.024,-0.308725982,-0.321005431,-0.012279449,0.012158,-0.000457,-0.012615,3.6124,4.5315,-0.39806,0.27302,-0.00513,0.39827,607.8737793,-1.641401,-1.624685,-0.598916,0.745961,-2.769595,47
