StdInChIKey,SMILES,LogS,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
ons56,"Cc1ccc(cc1)S(=O)(=O)O	",-1.3372421,151.9925824,172.198,105,-0.176823512,-0.194708335,-0.017884823,-0.085673179,-0.104384883,-0.018711704,5.939585328,7.865387214,-0.380757348,0.25185,-0.0263,0.380967348,345.7931739,-2.75734361,-1.404313599,-0.973765196,2.554884041,-0.202459568,19
ons57,"Cc1ccc(cc1)S(=O)(=O)C[N+]#[C-]	",-0.55518258,178.2121453,195.236,112,-0.016439873,-0.037441728,-0.021001855,0.094419513,0.07361356,-0.020805952,5.27059914,9.225518567,-0.378381286,0.254463544,-0.023686456,0.378591286,390.6914999,-1.980117441,-1.952425564,-0.991252524,2.484338046,0.252762496,22
ons58,"CCC1(c2ccccc2)C(=NC(=O)N=C1O)O	",0.698100546,223.6244901,232.239,175,-0.111871068,-0.131997201,-0.020126133,0.052561962,0.031413186,-0.021148776,6.309930836,9.536893636,-0.364914893,0.241962941,-0.036187059,0.365124893,422.6666676,-1.291533594,0.257181234,-0.682680967,0.76944476,-2.655384085,29
ons59,"c1ccc(cc1)CC(=O)O	",0.671172843,146.2324312,136.15,77,-0.115480952,-0.123767842,-0.00828689,-0.019181469,-0.028950005,-0.009768536,1.776157191,2.520711659,-0.355381066,0.280980914,0.002830914,0.355591066,325.199209,-1.105242552,-0.474301066,-0.567847953,0.689818961,-1.105242552,18
ons61,"COc1cc(/C=C/C(=O)O)cc(c1O)OC	",-0.10237291,236.2153107,224.212,204,-0.27296564,-0.285537198,-0.012571558,-0.123139242,-0.138285799,-0.015146557,3.779647912,4.666124543,-0.3210894,0.243957735,-0.034192265,0.3212994,445.7324423,-2.350002453,-0.074654191,-0.575059374,0.681503347,-2.350002453,28
ons62,"C(CCCC(=O)O)CCC(=O)O	",-0.34055558,216.4064594,174.196,143,-0.341523942,-0.355390417,-0.013866475,-0.185195184,-0.203134458,-0.017939274,1.438139525,2.254442156,-0.412228355,0.296238099,0.018088099,0.412438355,401.0808292,-2.241828795,-0.426910541,-0.579257819,0.682028514,-2.241828795,26
ons63,"c1ccc(cc1)C(c1ccccc1)(c1ccccc1)c1ccccc1	",-3.609999999,374.9295878,320.435,282,0.168869699,0.162828686,-0.006041013,0.467395051,0.461227705,-0.006167346,5.00E-06,0.000135913,-0.33694,0.2836,0.00545,0.33715,568.7109934,0,-3.143731478,-0.190794898,0.163566365,0,45
ons67,"CCCCNC(=O)C(c1cc2ccccc2c2ccccc12)N(Cc1ccco1)C(=O)Cc1ccccc1	",-2,548.6910004,504.63,185,-0.057120565,-0.072312264,-0.015191699,0.410012662,0.392113503,-0.017899159,0.900456161,0.761902122,-0.322967157,0.2539526,-0.0241974,0.323177157,762.8851214,-1.538702215,-3.048538085,-0.634522367,0.639523656,-2.384280976,70
ons68,"CC(C)(C)NC(=O)C(c1ccccc1)N(Cc1ccco1)C(=O)CNC(=O)OC(C)(C)C	",-1.759303401,525.8770959,443.544,203,-0.33016251,-0.350018508,-0.019855998,0.098255207,0.076598284,-0.021656923,2.982328098,4.843079104,-0.34890672,0.270539844,-0.007610156,0.34911672,729.305685,-2.699311157,-2.150276987,-0.641404287,0.734759885,-4.055031892,65
ons69,"CCCCCCCCCCC(=O)O	",0.595496222,300.4639412,186.295,29,-0.230266444,-0.238237026,-0.007970582,0.010665871,0.002107124,-0.008558747,2.016648168,2.601644841,-0.40288396,0.298740557,0.020590557,0.40309396,478.2672444,-1.120892472,-2.238118118,-0.57739802,0.679534127,-1.120892472,35
ons7,"C(CC(=O)O)C(=O)C(=O)O	",0.4756712,104.5877,146.098,115,-0.339971617,-0.353881799,-0.013910183,-0.277573495,-0.293142493,-0.015568998,1.34226453,1.800062331,-0.399775585,0.249126322,-0.029023678,0.399985585,323.5376291,-2.498954331,0.919394355,-0.562035526,0.67402382,-2.498954331,16
ons70,"COc1cc(ccc1O)C=O	",0.39269695,153.9472298,152.149,82,-0.135872214,-0.146063727,-0.010191513,-0.039734337,-0.050840648,-0.011106311,2.326479004,3.921582313,-0.331322225,0.249399201,-0.028750799,0.331532225,334.1319108,-1.402831289,-0.078240083,-0.541076658,0.434255354,-1.402831289,19
ons71,"COc1ccc(cc1OC)C=O	",0.739572344,187.550429,166.176,43,-0.126375242,-0.13717715,-0.010801908,-0.006079449,-0.017597428,-0.011517979,4.516908815,5.7019831,-0.320819397,0.254037618,-0.024112382,0.321029397,362.300408,-1.297232604,-0.28972519,-0.546138938,0.434672814,-1.297232604,22
ons8,"CCC(c1ccccc1)C(=O)O	",0.792391689,189.4591424,164.204,40,-0.130824544,-0.138275816,-0.007451272,0.013262749,0.004508241,-0.008754507,1.922787178,2.551120847,-0.354606322,0.280931006,0.002781006,0.354816322,371.539942,-1.104029256,-1.008527454,-0.568104925,0.656444104,-1.104029256,24
ons9,"Cc1ccc(cc1C)C=O	",0.877371346,166.8958771,134.178,224.5,-0.034612537,-0.042853266,-0.008240728,0.081863972,0.072612506,-0.009251466,4.392599239,5.761803422,-0.348020049,0.258475076,-0.019674924,0.348230049,330.2743528,-0.549563226,-1.092094246,-0.549563226,0.432507141,-0.549563226,20
ONZOGXRINCURBP-NXEZZACHSA-N,CC(C)COC(=O)[C@H]([C@@H](C(=O)OCC(C)C)O)O,0.244851692,279.8180442,262.303,70,-0.478064465,-0.489689712,-0.011625247,-0.222877828,-0.236574964,-0.013697136,2.312586396,2.474119864,-0.391407868,0.279450596,0.001300596,0.391617868,474.6346759,-3.017526334,-0.898138179,-0.52496142,0.569226128,-3.017526334,40
OODJJYRBUHRYQO-UHFFFAOYSA-N,CCC(CC)(CC(C)C)OC(=O)NC(=O)N,-1.23520234,266.5232513,230.307,147,-0.294626334,-0.305806742,-0.011180408,-0.042829663,-0.055579816,-0.012750153,4.376641735,5.796342517,-0.391961208,0.27912971,0.00097971,0.392171208,467.3882518,-1.732811816,-1.041503613,-0.61225747,0.767301109,-2.88006663,38
OPNZKSWUAFBELV-UHFFFAOYSA-N,c1ccc(cc1)COC(=O)NC(=O)N,-1.945804181,193.2608062,194.19,185.25,-0.178653705,-0.190144335,-0.011490631,-0.049035285,-0.062090994,-0.013055709,3.344104785,4.752122132,-0.364122728,0.260449536,-0.017700464,0.364332728,398.3207203,-1.626707099,0.685180234,-0.599158703,0.74397571,-2.756020924,24
OPOPTXYBSHDZOM-UHFFFAOYSA-N,CCCCC(CC)CC(CC)(CC)C(=O)NO,0,340.372702,243.39,62,-0.182326848,-0.1924926,-0.010165752,0.145952362,0.134740859,-0.011211503,3.451118316,4.402721018,-0.348846152,0.291722817,0.013572817,0.349056152,501.6776503,-0.968357188,-3.262576759,-0.567460712,0.530326472,-1.267697528,46
OQQBRZJNECDPEX-QVIHXGFCSA-N,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/N=N/c1ccc(cc1)S(=O)(=O)C(F)(F)F,-2.130189117,399.7422789,481.498,146.6,-0.126399382,-0.144091057,-0.017691675,0.165465797,0.147188742,-0.018277054,11.17149822,13.38179624,-0.31262,0.232722957,-0.045427043,0.31283,759.6413209,-1.84498738,-2.554902349,-0.923528715,2.438063762,-0.518287343,52
ORCAYCBZJPDNPE-UHFFFAOYSA-N,CC1CCCCC1OC(=O)NC(=O)N,-1.43525916,217.2776009,200.238,177,-0.263379393,-0.276004641,-0.012625248,-0.072244251,-0.086416001,-0.01417175,4.668367321,6.782982519,-0.39628793,0.277002194,-0.001147806,0.39649793,405.6411814,-1.697603616,-0.029069636,-0.615346712,0.761738969,-2.834267057,30
