StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
MCRZWYDXIGCFKO-UHFFFAOYSA-N,CCCCC(C(O)=O)C(O)=O,-2.618624393,160.17,103,171.0786867,-0.321583484,-0.326895949,-0.005312464,-0.19214716,-0.198642609,-0.006495449,2.593800707,3.181461153,-0.420128267,0.17931598,-0.00100402,0.261218267,366.1721346,-2.052281091,-0.203161783,-0.53374879,0.655563452,-2.052281091,23
MENUYOGJCXAFFU-UHFFFAOYSA-N,N#CC(=NNc1ccccc1)C#N,-0.310699476,170.173,137,165.4279799,0.206611098,0.200353562,-0.006257536,0.29654918,0.289828723,-0.006720456,6.611642832,7.845413667,-0.347471003,0.130007418,-0.050312582,0.188561003,375.3278443,0,-0.507517985,-0.2460459,0.288271353,-0.610322245,19
MGNCLNQXLYJVJD-UHFFFAOYSA-N,Clc1nc(Cl)nc(Cl)n1,-0.044531471,184.412,145,75.943,0.081121728,0.076417828,-0.0047039,0.081946,0.077153,-0.004793,0.0787,0.0544,-0.42098,0.11549,-0.06483,0.26207,300.4583435,0,1.047058,-0.435749,0.350105,-1.047059,9
MGUZTXXISNAEDO-UHFFFAOYSA-N,OC(c1ccc(cc1)c2ccccc2)C(=O)c3ccc(cc3)c4ccccc4,-1.622311274,364.444,168,390.9280243,0.030657974,0.025253899,-0.005404075,0.332188322,0.326689534,-0.005498787,4.177160554,4.798975892,-0.341827255,0.148540528,-0.031779472,0.182917255,664.9864679,-1.020573409,-2.322206763,-0.531832899,0.491903539,-1.020573409,48
MGXGEFQCJBBKND-UHFFFAOYSA-N,Oc1ccc(cc1)C=C2CCCC(=Cc3ccc(O)cc3)C2=O,-3.486233478,306.361,187,328.8196047,-0.093857392,-0.101041557,-0.007184165,0.160974809,0.153498763,-0.007476046,3.409290805,3.93456304,-0.327232228,0.160620702,-0.019699298,0.168322228,573.9151361,-1.486389398,-1.741376316,-0.519718649,0.536701557,-1.486389398,41
MHOOPNKRBMHHEC-HZIBQTDNSA-N,C\C=C\C1=CC(=O)[C@H](O)[C@H]1O,-2.886958609,154.166,134,173.0038972,-0.159158957,-0.164480331,-0.005321374,-0.045547561,-0.05160636,-0.006058799,3.928158465,4.650637726,-0.364390748,0.142883794,-0.037436206,0.205480748,352.2239407,-1.541753355,-0.518696433,-0.534557558,0.51474179,-1.541753355,21
MJNSVQRYNOXLHZ-RTWAWAEBSA-N,COc1cc2OC[C@H]3Oc4c(CCC(C)C)c(O)ccc4C(=O)[C@H]3c2cc1OC,-1.99832038,398.456,216,436.5473763,-0.340092568,-0.346944617,-0.006852049,0.015045399,0.007631903,-0.007413496,2.762877576,3.57523317,-0.306991508,0.156077084,-0.024242916,0.148081508,661.6341974,-2.51179011,-1.778453449,-0.517224583,0.609560175,-2.51179011,55
MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)c2ccccc2C1=O,0.086426364,172.183,105,165.8485609,-0.046756678,-0.050724676,-0.003967999,0.066613358,0.061508861,-0.005104496,1.342992926,1.618878685,-0.379757143,0.116125713,-0.064194287,0.220847143,353.1073914,-0.948442224,-0.475063348,-0.494118213,0.551926644,-0.948442224,21
MNCUCCJMXIWMJJ-UHFFFAOYSA-N,N#CSC=CSC#N,-0.698070007,142.205,98,100.6746712,0.155931745,0.151595625,-0.004336121,0.167910958,0.167313185,-0.000597773,0.053207408,0.045032566,-0.343405366,0.134315194,-0.046004806,0.184495366,309.7306335,0,-0.477973839,-0.212055651,0.206405939,0.081608142,10
MNNLUFVMZSSCJT-UHFFFAOYSA-N,Oc1ccc(cc1)N=Nc2ccc(Cl)cc2,-0.876459712,232.669,162,212.2601777,0.064956326,0.061313517,-0.003642809,0.193571213,0.190242536,-0.003328677,2.601647043,3.084107795,-0.329732461,0.133130161,-0.047189839,0.170822461,448.3041585,-0.468498013,-0.892086654,-0.468498013,0.373848635,-0.856875106,25
MQCPOLNSJCWPGT-UHFFFAOYSA-N,Oc1ccccc1Cc2ccccc2O,-0.840526284,200.237,113,220.56904,-0.076821697,-0.080959988,-0.004138291,0.084401973,0.079989148,-0.004412825,2.578012974,2.818369336,-0.32159489,0.177837176,-0.002482824,0.16268489,400.4105067,-1.01183219,-1.266339657,-0.507321779,0.351022429,-1.01183219,27
MRQIXHXHHPWVIL-ISLYRVAYSA-N,O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3,-0.781209421,248.284,129,248.5980582,0.097651484,0.093958898,-0.003692586,0.28167,0.277677187,-0.003992813,1.8705,2.2603,-0.31255,0.1308,-0.04952,0.15364,470.3987863,-0.586465688,-1.292246,-0.586465688,0.568577312,-0.807230188,31
MTIKNMBLKUFLKL-UHFFFAOYSA-N,OC(=O)c1ccc(Cl)cc1Nc2ccccc2,-1.615741442,247.681,201,207.7675218,-0.08516014,-0.088333417,-0.003173277,0.060446619,0.056541029,-0.00390559,1.348122307,1.547445451,-0.324976116,0.147284162,-0.033035838,0.166066116,447.0360514,-1.126023749,-0.406988245,-0.596543393,0.701395662,-1.639857682,27
MUPFCCVZEUACLO-AATRIKPKSA-N,CCCC/C=C/C(N)=O,-1.656785224,127.186,124,180.3698912,-0.085493731,-0.090777278,-0.005283547,0.050524884,0.045003774,-0.00552111,4.268878793,4.956169012,-0.377676294,0.1866779,0.0063579,0.218766294,358.4226473,-0.602204144,-1.000272963,-0.602210852,0.642710059,-1.193392221,22
MUPFCCVZEUACLO-WAYWQWQTSA-N,CCCC\C=C/C(N)=O,-0.066068749,127.186,74,189.4297051,-0.086163405,-0.090499066,-0.004335661,0.050641296,0.046015395,-0.004625901,3.067259463,3.75886281,-0.373270721,0.185170771,0.004850771,0.214360721,349.9127436,-0.610251871,-0.996156502,-0.610281105,0.653294853,-1.206328679,22
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,-1.038971067,178.233,215,211.9988427,0.095707926,0.093812686,-0.00189524,0.24363875,0.241494207,-0.002144543,0,0,-0.3074975,0.1452,-0.03512,0.1485875,375.6368451,0,-1.544275508,-0.197610682,0.1612485,0,24
MWUSAETYTBNPDG-UHFFFAOYSA-N,Clc1ccc(cc1)C(=O)OC(=O)c2ccc(Cl)cc2,-1.589187993,295.122,185,210.5130019,-0.133215196,-0.138209724,-0.004994529,-0.007628211,-0.013413684,-0.005785474,3.1939,3.846994737,-0.37462,0.13133,-0.04899,0.21571,491.8214546,-1.488553211,0.212503684,-0.565540895,0.684409737,-1.644597263,27
MZDYAVCNKNXCIS-ARJAWSKDSA-N,CC\C=C/C(N)=O,-0.484338481,99.1326,68.5,137.03441,-0.070618192,-0.074853253,-0.004235061,0.0185716,0.013458967,-0.005112633,3.11832,3.78068288,-0.373701,0.184817,0.004497,0.214791,289.2327059,-0.610366501,-0.471705803,-0.610637486,0.651892851,-1.205475051,16
MZDYAVCNKNXCIS-ONEGZZNKSA-N,CC\C=C\C(N)=O,-1.907584355,99.1326,153,141.7457737,-0.070158681,-0.075340397,-0.005181717,0.018043539,0.012995194,-0.005048345,3.990869409,4.559348364,-0.376753618,0.185292534,0.004972534,0.217843618,299.0247885,-0.609136812,-0.470079009,-0.609136812,0.645488152,-1.200078575,16
MZRSAJZDYIISJW-UHFFFAOYSA-N,O=C(C=[P](c1ccccc1)(c2ccccc2)c3ccccc3)c4ccccc4,-0.718962843,380.426,183,418.8212041,0.088524583,0.081215943,-0.00730864,0.397532514,0.389931284,-0.007601231,6.119141047,8.04482607,-0.309366825,0.166632004,-0.013687996,0.150456825,653.3425161,-0.715731609,-3.829577822,-0.972299097,1.21128881,0.495557201,49
NDFWFDYXWIBARB-ISLYRVAYSA-N,Cc1cc(C)c(O)c(c1)N=Nc2ccc(cc2)C(C)=O,-0.41352337,268.315,110,293.1172609,-0.013886473,-0.019148951,-0.005262477,0.196787475,0.192281153,-0.004506322,4.005816281,4.645418536,-0.325935483,0.132072993,-0.048247007,0.167025483,539.6761174,-0.986702369,-1.720479889,-0.639351772,0.609058872,-1.270314512,36
NEXDKMDYLSGXLN-VMPITWQZSA-N,c1cc(cc(c1)Cl)C=C(C(=O)O)Br,-0.339838257,261.502,100,144.0526882,-0.086756759,-0.091402248,-0.004645489,-0.009118797,-0.013410327,-0.004291529,2.453900331,2.779815318,-0.36055499,0.138516093,-0.041803907,0.20164499,393.2417406,-1.019195831,-0.10631444,-0.523040324,0.657088079,-1.129176953,19
NHRIWEKOARVHSN-UHFFFAOYSA-N,COc1c(c(cc(c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-1.326752675,288.13,153,126.5727412,0.007137628,-0.000503238,-0.007640866,0.09282685,0.08475075,-0.0080761,2.104660002,2.108421827,-0.4385925,0.0566075,-0.1237125,0.2796825,418.0562304,-3.685905312,-0.437688748,-0.424867195,0.865939062,-0.302222356,24
NIHNNTQXNPWCJQ-UHFFFAOYSA-N,C1c2ccccc2c3ccccc13,0.149132746,166.222,115,200.3023809,0.076936224,0.075099228,-0.001836996,0.219342,0.217259,-0.002083,0.5929,0.6846,-0.32093,0.16965,-0.01067,0.16202,365.7083511,0,-1.57085875,-0.32343475,0.17515,0,23
NIMGTMNBWOVIHM-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCN1,0.143056052,239.401,136,337.094482,-0.166920665,-0.172163341,-0.005242676,0.176345443,0.170679645,-0.005665797,4.715274851,5.39964543,-0.355604214,0.227213457,0.046893457,0.196694214,481.5291208,-0.613830751,-3.020758258,-0.613830751,0.614527136,-1.125457373,46
NJOXSODFMZIZJD-UHFFFAOYSA-N,Cc1ccc(O)c(c1)N=Nc2ccccc2,-0.076849601,212.251,127,234.4588532,0.065266253,0.06257994,-0.002686313,0.227505141,0.224449596,-0.003055545,1.35220827,1.495607115,-0.322909908,0.136248935,-0.044071065,0.163999908,445.8501055,-0.472100957,-1.389948586,-0.478011545,0.363763598,-0.788023042,28
NMIUCCCFPUEILN-UHFFFAOYSA-N,COC1=CC(=O)C(=C2OC(=CC=C12)c3ccccc3)C,-1.685001954,266.296,225.5,272.8808149,-0.069477697,-0.076435012,-0.006957316,0.13223875,0.1262228,-0.00601595,6.93485,8.646705005,-0.316399375,0.12977,-0.05055,0.157489375,495.5327271,-1.268814502,-1.060808297,-0.627836648,0.63696815,-1.268814502,34
NODIXMQDAGGDJQ-UHFFFAOYSA-N,C(=CC=CC=Cc1ccccc1)C=CC=Cc2ccccc2,-3.357021106,284.401,255,347.5044581,0.17879351,0.175968598,-0.002824912,0.448996846,0.445962532,-0.003034314,0.049741551,0.047781873,-0.309335871,0.150859978,-0.029460022,0.150425871,637.740276,0,-3.048517089,-0.189210683,0.158600017,0,42
NOIRTYMOEFHJRM-UHFFFAOYSA-N,COCN1C(=O)c2ccccc2C1=O,-0.36063907,191.186,118,190.5553465,-0.138078462,-0.143619742,-0.00554128,-0.013771988,-0.019691867,-0.005919879,3.707281784,4.398837087,-0.380644922,0.1273812,-0.0529388,0.221734922,377.4120017,-1.39989363,0.563945383,-0.577590778,0.635949609,-1.977484408,23
NRDWUPPIGBHWAS-ZJUUUORDSA-N,CCC[C@H]1CC2=C(C[C@@H](CC)CC3=C1C(=O)OC3=O)C(=O)OC2=O,-0.64653834,332.353,164.5,303.2116245,-0.356470596,-0.365073905,-0.008603309,-0.08035384,-0.089626835,-0.009272995,3.089807029,4.644423116,-0.414269528,0.106909089,-0.073410911,0.255359528,531.1082653,-2.52847284,-0.592088171,-0.497607104,0.618895546,-2.52847284,44
NRJPVIOTANUINF-UHFFFAOYSA-N,Oc1ccc(cc1)N=Nc2ccc(cc2)[N+]([O-])=O,-1.924984809,243.222,206,207.5909887,0.072648603,0.066038581,-0.006610022,0.2104533,0.204108397,-0.006344903,7.671370818,8.545056777,-0.350988166,0.129656966,-0.050663034,0.192078166,467.1279132,-1.444944263,-0.931360462,-0.491770164,0.849753927,-0.854654532,27
NTEQGUOUNBBNKZ-QURGRASLSA-N,CC(=O)c1cccc(c1)N=Nc2cc(ccc2O)c3ccccc3,-0.771634878,316.359,120,326.3687068,0.051686972,0.046361964,-0.005325008,0.288341424,0.283345402,-0.004996021,3.762610059,4.392733132,-0.328031136,0.128798029,-0.051521971,0.169121136,596.0206852,-0.974152172,-1.646366957,-0.638125038,0.60305345,-1.275424309,40
NUVPXAUGUJCZAI-QZQOTICOSA-N,CCC(C)(C)c1ccc(O)c(c1)N=Nc2ccc(cc2)C(C)=O,-0.476427265,310.396,87,370.1602637,-0.030211271,-0.035545026,-0.005333755,0.255155306,0.249889098,-0.005266208,3.880520873,4.630435969,-0.330858895,0.132731923,-0.047588077,0.171948895,601.5374392,-0.988168816,-2.540753249,-0.639363674,0.609428697,-1.270615287,45
NZHXEWZGTQSYJM-UHFFFAOYSA-N,BrC(c1ccccc1)(c2ccccc2)c3ccccc3,0.029586852,323.232,150,296.1864273,0.12044926,0.118040521,-0.002408739,0.336816615,0.334090767,-0.002725848,2.336360431,2.735908465,-0.346354805,0.150412918,-0.029907082,0.187444805,499.0810536,0,-2.123565545,-0.235451599,0.166201483,-0.235451599,35
NZXYYWMLCFKCPV-UHFFFAOYSA-N,COc1cc(c(c(c1OC)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-0.917901574,273.159,150.5,166.0020611,-0.065356249,-0.075090103,-0.009733854,0.046004026,0.034687606,-0.01131642,11.15803019,13.01157264,-0.375892374,0.097048739,-0.083271261,0.216982374,433.0541222,-3.2289009,-0.520176459,-0.453183805,0.87044182,-0.68780727,26
OCBCARWPRGBCGF-UHFFFAOYSA-N,Oc1ccc(cc1)N=Nc2cccc(Cl)c2,-0.618733559,232.669,133,222.4998949,0.06534343,0.06131135,-0.00403208,0.194668083,0.19063407,-0.004034013,2.457880508,2.980895912,-0.332989361,0.134889078,-0.045430922,0.174079361,450.7077283,-0.467235182,-0.901691558,-0.467235182,0.376831632,-0.846736048,25
ODTSCSXVTPSHPK-UHFFFAOYSA-N,OC1(N(CCBr)C(=O)c2ccccc12)c3ccccc3,-1.624649091,332.197,190,249.5343732,-0.05829872,-0.064757257,-0.006458537,0.140069794,0.133046594,-0.0070232,3.366819459,3.98467895,-0.355599925,0.154715272,-0.025604728,0.196689925,482.8996336,-1.107985076,-0.66122144,-0.566691699,0.634577837,-1.791005383,34
OENYBIZVWXUXCG-UHFFFAOYSA-N,NC(=O)C(O)c1cccc(Cl)c1,-2.946382076,185.61,126.5,156.5145802,-0.118681771,-0.123910722,-0.005228951,-0.020156694,-0.02607122,-0.005914526,2.704458671,4.044252794,-0.357101857,0.164807693,-0.015512307,0.198191857,359.8911787,-1.102994682,-0.022255739,-0.569695358,0.535297358,-1.745148078,20
OETISESXIXCPAD-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCN1,-1.329362948,211.348,150,302.4211567,-0.151151759,-0.156251519,-0.00509976,0.144919542,0.139652337,-0.005267205,4.694025797,5.369907428,-0.355202785,0.227706253,0.047386253,0.196292785,433.7180494,-0.615850496,-2.49305931,-0.615850496,0.617365857,-1.127306224,40
OFOBLEOULBTSOW-UHFFFAOYSA-N,OC(=O)CC(O)=O,-3.928660027,104.062,137,76.31849337,-0.291425995,-0.297189913,-0.005763919,-0.25712749,-0.263183972,-0.006056482,2.718327891,3.300029929,-0.434248519,0.174611136,-0.005708864,0.275338519,255.8863552,-2.044337397,0.835851335,-0.540115487,0.688889718,-2.044337397,11
