StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
INEIPLWARQAKKQ-JHJVBQTASA-N,Cc1ccc(cc1)C1=Nn2c(C(C(C(CO)O)O)O)nnc2SC1,-2.138021438,350.398,173,236.231,-1500.485592,-1500.509472,-0.02388002,-1500.209632,-1500.234364,-0.024732,8.0947,11.5024,-0.24508,-0.08689,0.23238,0.27,567.1407471,-3.19316,-1.64056,-0.81268,0.52535,-4.06759,42
INHXSMASASFALB-UHFFFAOYSA-N,CC1=NN(c2cccc(c2)S(=O)(=O)O)C(=N)C1,-1.138788219,253.2752,,152.385,-1175.730564,-1175.752229,-0.02166434,-1175.566213,-1175.587537,-0.021324,5.1135,7.1137,-0.23228,-0.0647,0.25457,0.2572,454.5756531,-2.81968,-1.62682,-0.94741,2.37634,-1.80448,28
INLLPKCGLOXCIV-UHFFFAOYSA-N,C=CBr,-2.606608856,106.9497,-138.1,62.143,-2649.712635,-2649.715301,-0.0026658,-2649.697077,-2649.69983,-0.002753,1.5345,1.9935,-0.26418,-0.0243,0.29497,0.2891,203.2495728,0,-0.77987,-0.44939,0.26657,0.01657,6
INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,-1.214583849,141.9392,-65.85,39.49,-51.29693162,-51.29983166,-0.002900036,-51.285772,-51.288718,-0.002946,1.7729,2.2736,-0.25992,-0.04413,0.27514,0.28484,191.9145355,0,-0.8445,-0.8445,0.26711,0.04316,5
INRYEFODKKMLFS-UHFFFAOYSA-N,CC(C)C1C(C)CCCC1O,-0.29,156.2674,,142.205,-468.3600312,-468.3646875,-0.004656369,-468.110213,-468.115389,-0.005176,1.7592,2.3906,-0.26626,-0.0035,0.31577,0.29118,369.1403503,-0.8059,-4.24437,-0.8059,0.50108,-0.8059,31
INUSWOTZHGQZQF-UHFFFAOYSA-N,c1ccc2c(c1)OCCOCCOc1ccccc1OCC(CO2)OCC(=O)O,-5.096284393,404.417,142,311.187,-1416.450883,-1416.470405,-0.01952225,-1416.0813,-1416.101323,-0.020023,2.5416,4.3366,-0.21469,-0.01689,0.30238,0.23961,623.5131836,-4.85347,-1.26256,-0.72429,0.79619,-4.85347,53
INVISNUJFNRVRQ-INIZCTEOSA-N,c1cc(ccc1c1cc(cnc1)COC1Cn2cc(nc2OC1)N(=O)=O)C(F)(F)F,-5.176450954,420.348,228,237.276,-1552.42759,-1552.460145,-0.03255489,-1552.15717,-1552.189984,-0.032814,10.1808,13.6238,-0.25255,-0.08922,0.23005,0.27747,655.1188354,-1.98045,0.15034,-0.59146,1.0947,-4.03176,45
INVVMIXYILXINW-UHFFFAOYSA-N,Cc1cc(=O)n2c(nc[nH]2)n1,-1.347195531,150.1396,,89.695,-526.4844885,-526.5044203,-0.019931815,-526.392025,-526.411729,-0.019704,2.4666,3.5452,-0.23892,-0.05818,0.26109,0.26384,313.5195923,-0.70076,0.57558,-0.71868,0.61922,-2.40149,17
INVXNRJFCIBXGV-OWOJBTEDSA-N,C(=Cc1cc(cc(c1)O)O)c1ccc(cc1)OCC(=O)O,-2.548794875,286.284,223.5,232.178,-994.2710093,-994.2957741,-0.024764785,-994.05378,-994.078365,-0.024585,3.0969,4.4705,-0.20625,-0.06113,0.25814,0.23117,541.5180664,-3.33126,-1.01956,-0.72456,0.8095,-3.33126,35
INWLQCZOYSRPNW-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.77,246.3516,150.5,236.531,-769.6173595,-769.6287035,-0.011344045,-769.31238,-769.324601,-0.012221,2.6391,4.258,-0.20839,-0.01914,0.30013,0.23331,476.7664795,-0.68837,-3.66773,-0.7045,0.68495,-1.9016,40
INYDMNPNDHRJQJ-UHFFFAOYSA-N,Cc1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-],-3.2604,182.1354,56.77,114.059,-680.5788278,-680.5933511,-0.014523232,-680.483825,-680.500213,-0.016388,7.8651,10.5211,-0.29664,-0.12266,0.19661,0.32156,349.2546997,-1.52619,-1.12398,-0.71055,0.50652,-0.5162,19
INYHZQLKOKTDAI-UHFFFAOYSA-N,C=CC1CC2C=CC1C2,-3.079886402,120.1938,-80,101.053,-350.1317329,-350.1339602,-0.00222728,-349.977534,-349.980048,-0.002514,0.3255,0.4578,-0.23699,-0.00315,0.31612,0.26191,319.7814941,0,-2.92421,-0.46264,0.25935,0,21
INZDTEICWPZYJM-UHFFFAOYSA-N,c1cc(ccc1CCl)c1ccc(cc1)CCl,-10.09891356,251.1548,137.5,203.913,-1461.149147,-1461.159798,-0.01065065,-1460.973701,-1460.984078,-0.010377,1.2728,1.7128,-0.24317,-0.06538,0.25389,0.26809,470.295929,0,-2.85568,-0.42226,0.27539,-0.28495,28
