StdInChIKey,Name,Smile,Sol,LogS,T,Sol_cat,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
AQIXAKUUQRKLND-UHFFFAOYSA-N,1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,NA,-1.40229,NA,J,252.3366,141.5,164.954,-1117.386686,-1117.414648,-0.02796221,-1117.170802,-1117.197313,-0.026511,4.4749,4.3285,-0.22036,-0.02486,0.29441,0.24528,521.8492432,0,-1.29718,-0.71806,0.60541,-3.37648,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
AQIXEPGDORPWBJ-UHFFFAOYSA-N,pentan-3-ol,OC(CC)CC,NA,-0.24,NA,K,88.1492,-69.075,98.286,-272.9938948,-272.9990345,-0.005139661,-272.860489,-272.86613,-0.005641,1.7497,2.3017,-0.27397,0.00151,0.32078,0.29889,285.1423645,-0.81195,-2.2963,-0.81195,0.50875,-0.81195,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARCGXLSVLAOJQL-UHFFFAOYSA-N,"benzene-1,2,4-tricarboxylic acid",O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,NA,-0.397,NA,K,210.1428,231,132.038,-797.9680219,-797.9957307,-0.027708864,-797.865556,-797.89238,-0.026824,3.8961,5.6869,-0.30133,-0.12265,0.19662,0.32625,367.5466919,-3.99,1.53864,-0.71834,0.84134,-3.99,21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
ARGDYOIRHYLIMT-UHFFFAOYSA-N,"N,N-dichloro-4-methylbenzenesulfonamide",ClN(Cl)S(=O)(=O)c1ccc(C)cc1,NA,-3.509,NA,H,240.1038,82,154.307,-1794.606973,-1794.617284,-0.01031117,-1794.513685,-1794.524362,-0.010677,5.9313,8.0259,-0.27999,-0.10773,0.21154,0.30491,393.8843079,-1.82781,-1.90355,-0.91435,2.24726,0.03484,20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
ARSRBNBHOADGJU-UHFFFAOYSA-N,"7,12-dimethylbenzo[a]anthracene",Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,NA,-7.020001,NA,D,256.3464,122.5,186.755,-771.8138498,-771.8200607,-0.00621089,-771.55813,-771.564286,-0.006156,0.175,0.2838,-0.19817,-0.06843,0.25084,0.22309,471.7829895,0,-4.02103,-0.71619,0.25777,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ATROHALUCMTWTB-UHFFFAOYSA-N,N-diethoxyphosphinothioyloxybenzenecarboximidoyl cyanide,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,NA,-4.86,NA,G,298.2959,6.1,241.737,-1541.054292,-1541.067778,-0.01348519,-1540.847238,-1540.860872,-0.013634,4.3491,6.1952,-0.25148,-0.09798,0.22129,0.2764,555.7894287,-2.39818,-2.45144,-0.8711,2.09625,-1.31325,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AUKRYONWZHRJRE-UHFFFAOYSA-N,anthracen-9-ol,Oc1c2c(cc3c1cccc3)cccc2,NA,-4.73,NA,G,194.2324,152,136.512,-614.7676416,-614.7758862,-0.008244615,-614.605888,-614.613927,-0.008039,1.287,1.8862,-0.19394,-0.0704,0.24887,0.21886,382.6009216,-0.71324,-2.0737,-0.71324,0.52565,-0.71324,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
AUNGANRZJHBGPY-UHFFFAOYSA-N,"7,8-dimethyl-10-(2,3,4,5-tetrahydroxypentyl)benzo[g]pteridine-2,4-dione",O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,NA,-3.68,NA,H,376.3682,290,225.934,-1330.275185,-1330.3078,-0.03261508,-1329.957925,-1329.990452,-0.032527,7.5102,11.4633,-0.25146,-0.12533,0.19394,0.27638,598.2529907,-4.52739,0.1427,-0.82502,0.81015,-6.52439,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
AVQQQNCBBIEMEU-UHFFFAOYSA-N,"1,1,3,3-tetramethylurea",O=C(N(C)C)N(C)C,NA,0.94,NA,L,116.1626,-1,94.676,-382.5042285,-382.5136988,-0.009470318,-382.362379,-382.372214,-0.009835,3.5766,5.2603,-0.23616,-0.00028,0.31899,0.26108,310.6023865,-0.7369,-1.06616,-0.7369,0.83077,-1.8022,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AVZVLGDSSQKRGL-UHFFFAOYSA-N,(2-morpholin-4-yl-2-oxoethyl) benzoate,O=C(COC(=O)c1ccccc1)N1CCOCC1,NA,-1.773,NA,J,249.2658,103.5,189.941,-860.1045936,-860.1228943,-0.018300718,-859.880595,-859.898902,-0.018307,2.5369,4.1655,-0.25169,-0.05663,0.26264,0.27661,479.6381226,-2.48603,-0.82858,-0.68649,0.82515,-2.97951,33,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
AWMVMTVKBNGEAK-UHFFFAOYSA-N,2-phenyloxirane,c1(C2OC2)ccccc1,NA,-1.6,NA,J,120.1506,-37,118.021,-384.8617714,-384.8681666,-0.006395133,-384.7551,-384.761515,-0.006415,1.93,2.6171,-0.24961,-0.02394,0.29533,0.27453,303.1288757,-0.58164,-1.38709,-0.58164,0.25364,-0.58164,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1
AXGUBXVWZBFQGA-UHFFFAOYSA-N,"propan-2-yl 2,2-bis(4-chlorophenyl)-2-hydroxyacetate",Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,NA,-4.53,NA,G,339.2176,73,223.456,-1803.555994,-1803.566113,-0.01011899,-1803.315442,-1803.326167,-0.010725,3.5287,4.6766,-0.25154,-0.04208,0.27719,0.27646,554.1115112,-1.96959,-2.42134,-0.77449,0.83799,-1.99669,38,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AYFVYJQAPQTCCC-UHFFFAOYSA-N,2-amino-3-hydroxybutanoic acid,O=C(O)C(N)C(O)C,NA,-0.09,NA,K,119.12,244,96.62,-438.2876995,-438.3050987,-0.017399165,-438.18006,-438.197785,-0.017725,4.7674,5.9674,-0.26473,-0.01842,0.30085,0.28965,283.2250671,-2.1952,-0.05648,-0.92194,0.80988,-3.11714,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BACHBFVBHLGWSL-UHFFFAOYSA-N,"methyl 2-[4-(2,4-dichlorophenoxy)phenoxy]propanoate",Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,NA,-3.82,NA,H,341.1902,40,255.58,-1839.442661,-1839.455739,-0.01307718,-1839.22781,-1839.241131,-0.013321,5.4022,6.6997,-0.23425,-0.04053,0.27874,0.25917,582.737915,-2.24586,-1.37379,-0.69303,0.80888,-2.24155,36,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl prop-2-enoate,O=C(OC)C=C,NA,-0.22,NA,K,86.0902,-75,64.338,-306.4818303,-306.4885511,-0.006720726,-306.416724,-306.423742,-0.007018,2.3483,3.1674,-0.28736,-0.06204,0.25723,0.31228,256.6029358,-1.20573,-0.2367,-0.64886,0.78759,-1.20573,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BBEAQIROQSPTKN-UHFFFAOYSA-N,pyrene,c12c3c4ccc1cccc2ccc3ccc4,NA,-6.172998,NA,E,202.255,150,159.958,-615.7921766,-615.7975995,-0.005422863,-615.620251,-615.625747,-0.005496,0,0,-0.20584,-0.06622,0.25305,0.23076,387.6643066,0,-2.52143,-0.24391,0.25476,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BBXXLROWFHWFQY-UHFFFAOYSA-N,5-butyl-2-(ethylamino)-6-methyl-1H-pyrimidin-4-one,O=c1c(CCCC)c(C)nc(NCC)[nH]1,NA,-3.02497,NA,H,209.2906,160,207.558,-670.1597557,-670.17576,-0.016004302,-669.909379,-669.926312,-0.016933,4.6775,6.611,-0.21759,-0.03105,0.28822,0.24251,473.5541382,-0.72107,-2.45396,-0.72107,0.64934,-2.58612,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,"1,1,2,2,3,3,4,4-octafluorocyclobutane",FC1(F)C(F)(F)C(F)(F)C1(F)F,NA,-3.92,NA,H,200.0312,-41.4,83.533,-951.1451773,-951.1482338,-0.003056442,-951.134504,-951.136485,-0.001981,0,8.00E-04,-0.3555,-0.06348,0.25579,0.38042,279.024231,0,2.67316,-0.33506,0.6683,-2.67315,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
BCMCBBGGLRIHSE-UHFFFAOYSA-N,"1,3-benzoxazole",o1c2c(nc1)cccc2,NA,-1.16,NA,J,119.1226,29.5,91.656,-399.7383302,-399.7445212,-0.006190935,-399.662479,-399.668727,-0.006248,1.3997,1.943,-0.25235,-0.04343,0.27584,0.27727,277.8566895,-0.46927,-0.31303,-0.50852,0.36165,-0.97779,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
BFCFYVKQTRLZHA-UHFFFAOYSA-N,1-chloro-2-nitrobenzene,Clc1c([N+](=O)[O-])cccc1,NA,-2.55,NA,I,157.5561,32.5,112.458,-896.3517438,-896.3609282,-0.009184456,-896.292508,-896.301745,-0.009237,5.2587,7.0183,-0.28118,-0.10669,0.21258,0.3061,303.1655273,-0.78275,-0.86527,-0.39807,0.50298,-0.23393,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BFPYWIDHMRZLRN-UHFFFAOYSA-N,"17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol",Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,NA,-4.3,NA,G,296.4084,182.5,195.736,-926.9767391,-926.989334,-0.012594902,-926.62611,-926.638665,-0.012555,3.032,4.1842,-0.21831,-0.01662,0.30265,0.24323,515.0608521,-1.49958,-5.00525,-0.76753,0.52245,-1.49958,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
