StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,Volume,HOMO,LsoluHsolv,LUMO,LsolvHsolu,N_atoms,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,1_2_amine,3_ring,4_ring,5_ring,6_ring,7_ring,8_ring,acidic_hydroxyl,alcohol,aldehyde,alkene,alkyne,amide,aromatic,azo,Br,carbonyl,carboxyl,Cl,C_aromatic,ester,ether_ester,F,halide,heterocyclic,H_bond_acceptor,H_bond_donor,I,ketone,nitrile,nitro,N_aromatic,O_aromatic,P,ring,S,sulfonamide,S_aromatic,thioamide,thiol,unfused_benzene
GCKMFJBGXUYNAG-HLXURNFRSA-N,"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,NA,-3.97988,J,NA,302.4558,164.5,-0.119128268,-0.220405977,-0.101277709,0.260676,0.16041,-0.100266,4.433,5.4993,347.966,-0.31881,0.30867,-0.0106,0.34373,52,506.4359436,-1.251433,-3.591243,-0.636254,0.638392,-1.251433,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GCNTZFIIOFTKIY-UHFFFAOYSA-N,1H-pyridin-4-one,Oc1ccncc1,NA,1.02,O,NA,95.1006,145,-1.91E-02,-2.82E-02,-0.009145058,0.036641,0.027034,-0.009607,2.4776,3.3004,103.739,-0.36734,0.30634,-0.01293,0.39226,12,252.2723236,-0.474729,-0.186323,-0.474729,0.417235,-0.910802,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
GCQZFVAHUZIDRP-UHFFFAOYSA-N,4-amino-N-(4-sulfamoylphenyl)benzenesulfonamide,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,NA,-2.759,K,NA,327.3724,137,-0.178518093,-0.218807359,-0.040289266,-0.000147,-0.041123,-0.040976,7.0926,11.238,228.653,-0.33958,0.29501,-0.02426,0.3645,34,532.192749,-4.003263,-1.808918,-1.022204,2.618915,-1.013451,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
GECHUMIMRBOMGK-UHFFFAOYSA-N,4-amino-N-pyridin-2-ylbenzenesulfonamide,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,NA,-2.81913,K,NA,249.2868,191.5,-3.88E-02,-6.42E-02,-0.025393481,0.113023,0.086262,-0.026761,8.3188,12.1909,222.909,-0.32759,0.30142,-0.01785,0.35251,28,446.6885376,-1.971926,-1.122651,-0.990641,2.622527,-1.144124,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
GEDIWDLJKRKBFT-UHFFFAOYSA-N,"(5-methyl-2-phenylpyrazol-3-yl) N,N-dimethylcarbamate",O=C(Oc1n(c2ccccc2)nc(C)c1)N(C)C,NA,-2.09,K,NA,245.2804,50,-2.15E-02,-3.71E-02,-0.015650447,0.174481,0.156657,-0.017824,4.8282,6.68,276.454,-0.32359,0.30853,-0.01074,0.34851,33,488.5283813,-1.010808,-0.96774,-0.578107,0.686509,-1.683789,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
GEYOCULIXLDCMW-UHFFFAOYSA-N,"benzene-1,2-diamine",Nc1c(N)cccc1,NA,-0.42,M,NA,108.1426,101.5,3.99E-02,2.65E-02,-0.013377793,0.131367,0.117726,-0.013641,3.3231,3.7663,123.417,-0.29489,0.3335,0.01423,0.31981,16,281.6366577,0,-0.594869,-0.504513,0.244923,-1.007797,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GFBKOADVXIDVBA-UHFFFAOYSA-N,butyl N-sulfamoylcarbamate,S(=O)(=O)(NC(=O)OCCCC)N,NA,-1.038,L,NA,196.2208,112.75,-0.286307057,-0.311136025,-0.024828968,-0.158462,-0.185461,-0.026999,4.6194,7.3064,182.997,-0.41159,0.28986,-0.02941,0.43651,24,407.7806702,-2.951987,-0.227953,-0.945293,2.660143,-2.06811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GGLIEWRLXDLBBF-UHFFFAOYSA-N,(4-ethoxyphenyl)urea,O=C(Nc1ccc(OCC)cc1)N,NA,-2.17,K,NA,180.206,173.5,-0.106428179,-0.123882168,-0.017453989,0.037688,0.019104,-0.018584,4.7309,6.8621,210.585,-0.3051,0.32359,0.00432,0.33002,25,401.3014221,-1.083185,-0.216443,-0.647828,0.694321,-2.146786,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GILNGPKTMRSQDW-UHFFFAOYSA-N,(2-oxo-2-pyrrolidin-1-ylethyl) benzoate,O=C(COC(=O)c1ccccc1)N1CCCC1,NA,-1.568,L,NA,233.2664,58,-0.16424903,-0.181975701,-0.017726671,0.030757,0.012688,-0.018069,6.951,9.8367,228.448,-0.34375,0.28703,-0.03224,0.36867,32,463.1681213,-1.657068,-0.400386,-0.656677,0.659829,-2.011382,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GIUGGRUEPHPVNR-UHFFFAOYSA-N,2-chlorodibenzo-p-dioxin,Clc1cc2Oc3c(Oc2cc1)cccc3,NA,-5.87,H,NA,218.6391,88,-2.96E-02,-3.38E-02,-0.004168517,0.081423,0.076478,-0.004945,2.0533,2.5652,222.232,-0.31664,0.29468,-0.02459,0.34156,22,391.3275452,-0.635683,-0.568233,-0.318606,0.201929,-0.718052,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GKEUODMJRFDLJY-UHFFFAOYSA-N,1-methyl-9H-fluorene,Cc1c2c(c3c(cccc3)C2)ccc1,NA,-5.22,H,NA,180.2488,85,6.23E-02,5.72E-02,-0.00515299,0.228233,0.222396,-0.005837,1.208,1.5438,233.214,-0.31924,0.31052,-0.00875,0.34416,26,389.8175964,0,-1.97982,-0.50003,0.176256,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GKRZNOGGALENQJ-UHFFFAOYSA-N,N-carbamoylacetamide,O=C(NC(=O)C)N,NA,-0.9,M,NA,102.0926,216,-0.16108516,-0.17498902,-0.01390386,-0.102319,-0.117617,-0.015298,2.9858,3.9332,105.59,-0.39326,0.323,0.00373,0.41818,13,264.7104492,-1.23636,0.798242,-0.640126,0.714355,-2.381227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLDOVTGHNKAZLK-UHFFFAOYSA-N,octadecan-1-ol,OCCCCCCCCCCCCCCCCCC,NA,-8.400008,E,NA,270.4976,58,-0.214529401,-0.221990982,-0.007461582,0.210023,0.204178,-0.005845,1.8836,2.2655,465.279,-0.38239,0.4161,0.09683,0.40731,57,706.2456665,-0.602925,-4.709892,-0.602925,0.324459,-0.602925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUUGHFHXGJENI-UHFFFAOYSA-N,piperazine,N1CCNCC1,NA,1.07,O,NA,86.1364,110.5,8.28E-03,-1.25E-03,-0.009527336,0.115246,0.105446,-0.0098,0,0,141.823,-0.32501,0.42707,0.1078,0.34993,16,261.5381775,0,-0.601862,-0.449578,0.22264,-0.899156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GMVJKSNPLYBFSO-UHFFFAOYSA-N,"1,2,3-tribromobenzene",Brc1c(Br)cccc1Br,NA,-5.054741,H,NA,314.8017,87.5,5.61E-02,4.80E-02,-0.00815995,0.084887,0.076314,-0.008573,3.0538,4.1465,73.12,-0.36613,0.28702,-0.03225,0.39105,12,325.1722717,0,-0.383033,-0.132186,0.186388,-0.169301,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GNHMRTZZNHZDDM-UHFFFAOYSA-N,3-chloropropanenitrile,ClCCC#N,NA,-0.29,M,NA,89.5243,-51,1.71E-02,8.85E-03,-0.008275876,0.048501,0.039767,-0.008734,1.6047,2.0526,90.377,-0.41029,0.32632,0.00705,0.43521,9,242.4676361,0,-0.27916,-0.307987,0.205529,-0.48625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GOHBXWHNJHENRX-UHFFFAOYSA-N,5-methylchrysene,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,NA,-6.589999,G,NA,242.3196,118,0.106310876,9.97E-02,-0.006587102,0.318757,0.311478,-0.007279,0.684,0.916,281.212,-0.3113,0.29206,-0.02721,0.33622,33,453.0328674,0,-2.314644,-0.513285,0.179457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GPTONYMQFTZPKC-UHFFFAOYSA-N,4-amino-N-(5-methoxypyrimidin-2-yl)benzenesulfonamide,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,NA,-2.58,K,NA,280.3008,214,-7.70E-02,-0.105862669,-0.028893949,0.088518,0.057845,-0.030673,8.6411,12.7641,225.151,-0.32084,0.30079,-0.01848,0.34576,31,484.8556213,-2.334528,-0.59401,-0.995705,2.632802,-1.848339,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
GRFNBEZIAWKNCO-UHFFFAOYSA-N,pyridin-3-ol,Oc1cnccc1,NA,-0.46,M,NA,95.1006,126.5,-1.32E-02,-2.22E-02,-0.008971284,0.042146,0.032789,-0.009357,1.2102,1.6312,98.564,-0.3493,0.30629,-0.01298,0.37422,12,251.4479065,-0.4735,-0.339926,-0.4735,0.351186,-0.746922,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
GRWAIJBHBCCLGS-UHFFFAOYSA-N,2-(tetrazol-1-yl)acetic acid,O=C(O)Cn1nnnc1,NA,0.083568,N,NA,128.0902,128,5.57E-04,-2.08E-02,-0.021324603,0.048544,0.026575,-0.021969,4.1105,5.7908,93.53,-0.42499,0.2761,-0.04317,0.44991,13,277.6477051,-0.991364,0.379636,-0.504378,0.66436,-1.474598,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,Ofloxacin,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,NA,-1.2655,L,NA,361.3721,253.5,-0.26579155,-0.2970833,-0.031291749,0.023113,-0.009526,-0.032639,10.6669,14.4616,350.982,-0.32015,0.27657,-0.0427,0.34507,46,567.1387939,-2.167547,-0.458588,-0.636417,0.762044,-3.057451,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
GTCAXTIRRLKXRU-UHFFFAOYSA-N,methyl carbamate,O=C(OC)N,NA,0.97,N,NA,75.067,56,-0.146695702,-0.156990382,-0.01029468,-0.107999,-0.118782,-0.010783,2.3202,3.1934,88.356,-0.39468,0.34706,0.02779,0.4196,10,227.6178741,-1.090642,0.559607,-0.636512,0.719785,-1.636455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVEPBJHOBDJJJI-UHFFFAOYSA-N,fluoranthene,c12c3cccc1c1c(c2ccc3)cccc1,NA,-5.945064,H,NA,202.255,108,0.123321888,0.118054251,-0.005267637,0.282703,0.276874,-0.005829,0.0991,0.1637,207.062,-0.32306,0.28303,-0.03624,0.34798,26,398.8542786,0,-1.617922,-0.162728,0.164763,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GWDYJKXSUSPLEA-UHFFFAOYSA-N,"2-phenyl-1,3-benzoxazin-4-one",O=c1nc(c2ccccc2)oc2c1cccc2,NA,-4.61,I,NA,223.2306,123.5,-9.30E-04,-1.43E-02,-0.013346793,0.142,0.130361,-0.011639,5.106,7.8839,236.232,-0.36174,0.27587,-0.0434,0.38666,26,425.8216553,-0.916149,-0.014503,-0.620791,0.697274,-1.53694,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
GWOFUCIGLDBNKM-UHFFFAOYSA-N,"2,3-dihydroxypropyl 2-[(7-chloroquinolin-4-yl)amino]benzoate",Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,NA,-4.55319,I,NA,372.8073,169.5,-0.184431879,-0.201354998,-0.016923119,0.064258,0.04542,-0.018838,5.3295,8.9408,330.946,-0.33178,0.26977,-0.0495,0.3567,43,614.8995361,-2.219253,-0.245135,-0.612991,0.690508,-3.190128,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
GWUSZQUVEVMBPI-UHFFFAOYSA-N,"1-methyl-7-nitro-5-phenyl-3H-1,4-benzodiazepin-2-one",O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,NA,-3.8,J,NA,295.297,156,4.43E-02,2.50E-02,-0.01929503,0.246691,0.225697,-0.020994,2.3678,3.0828,312.241,-0.36048,0.25806,-0.06121,0.3854,35,511.324646,-1.578412,-0.871828,-0.553274,0.874385,-1.434279,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
GXEKYRXVRROBEV-UHFFFAOYSA-N,"7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",O=C(O)C1C(C(=O)O)C2OC1CC2,NA,-0.27,M,NA,186.164,144,-0.334045872,-0.357788135,-0.023742264,-0.207277,-0.231458,-0.024181,5.5991,7.957,139.899,-0.40971,0.31434,-0.00493,0.43463,23,343.2672119,-2.608392,0.449438,-0.5469,0.674945,-2.608392,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GYFAGKUZYNFMBN-UHFFFAOYSA-N,"1,12-benzoperylene",c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,NA,-9.030118,D,NA,276.3368,278,0.129103365,0.122132929,-0.006970435,0.342932,0.33516,-0.007772,0.0274,0.0779,262.049,-0.30177,0.27698,-0.04229,0.32669,34,460.1642456,0,-1.97661,-0.176019,0.16607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GYMFBYTZOGMSQJ-UHFFFAOYSA-N,2-methylanthracene,Cc1cc2c(cc3c(c2)cccc3)cc1,NA,-6.959999,G,NA,192.2598,205,7.95E-02,7.40E-02,-0.005541853,0.249758,0.243551,-0.006207,0.8898,1.0777,234.148,-0.30363,0.28713,-0.03214,0.32855,27,409.2495728,0,-1.995746,-0.517922,0.177576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GYTMHWVFKHLDEA-UHFFFAOYSA-N,4-(4-methylbenzoyl)thiophene-2-sulfonamide,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,NA,-4.449,I,NA,281.3438,176,-9.30E-02,-0.119137687,-0.026169742,0.052426,0.024069,-0.028357,5.5353,7.3968,248.418,-0.3588,0.2721,-0.04717,0.38372,29,486.8408203,-2.56572,-1.738932,-1.00513,2.6257,-0.405792,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1
HAPOJKSPCGLOOD-UHFFFAOYSA-N,11H-benzo[b]fluorene,c12c(cc3c(c4c(cccc4)C3)c1)cccc2,NA,-8.040005,E,NA,216.2818,212,0.101253691,9.54E-02,-0.00582921,0.284832,0.278418,-0.006414,0.6043,0.7835,234.209,-0.31597,0.29723,-0.02204,0.34089,29,430.2927246,0,-1.978093,-0.327318,0.182079,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HAXBIWFMXWRORI-UHFFFAOYSA-N,benzo[k]fluoranthene,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,NA,-8.489991,E,NA,252.3148,216,0.146852262,0.140440333,-0.006411929,0.347414,0.340316,-0.007098,0.079,0.0756,267.561,-0.31356,0.28369,-0.03558,0.33848,32,462.7754517,0,-1.960673,-0.177903,0.171642,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HCFSGRMEEXUOSS-UHFFFAOYSA-N,"17-acetyl-6,10,13,17-tetramethyl-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-3-one",O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1,NA,-5.27,H,NA,340.5046,144,-8.57E-02,-0.102727845,-0.017002143,0.326139,0.307681,-0.018458,4.2969,5.5585,454.351,-0.31583,0.29574,-0.02353,0.34075,57,547.7511597,-1.195453,-3.964001,-0.649834,0.624996,-1.195453,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
HDWIHXWEUNVBIY-UHFFFAOYSA-N,"3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide",S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,NA,-3.59,J,NA,421.4085,214,-0.419302905,-0.46177567,-0.042472765,-0.203837,-0.248114,-0.044277,8.8575,12.53,243.269,-0.36268,0.27109,-0.04818,0.3876,41,593.0593872,-3.941467,-1.399296,-1.002152,2.618238,-1.514019,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
