StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,Volume,HOMO,LsoluHsolv,LUMO,LsolvHsolu,N_atoms,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,1_2_amine,3_ring,4_ring,5_ring,6_ring,7_ring,8_ring,acidic_hydroxyl,alcohol,aldehyde,alkene,alkyne,amide,aromatic,azo,Br,carbonyl,carboxyl,Cl,C_aromatic,ester,ether_ester,F,halide,heterocyclic,H_bond_acceptor,H_bond_donor,I,ketone,nitrile,nitro,N_aromatic,O_aromatic,P,ring,S,sulfonamide,S_aromatic,thioamide,thiol,unfused_benzene
NGFMICBWJRZIBI-UHFFFAOYSA-N,"2-(hydroxymethyl)-6-[2-(hydroxymethyl)phenoxy]oxane-3,4,5-triol",O(c1c(CO)cccc1)C1C(O)C(O)C(O)C(CO)O1,NA,-0.85,M,NA,286.281,199,-0.462286623,-0.484807836,-0.022521213,-0.235696,-0.259488,-0.023792,3.5938,3.8883,272.337,-0.35566,0.30744,-0.01183,0.38058,38,486.1971741,-3.781743,-0.056823,-0.576386,0.343387,-3.781743,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NHOWDZOIZKMVAI-UHFFFAOYSA-N,(2-chlorophenyl)-(4-chlorophenyl)-pyrimidin-5-ylmethanol,Clc1c(C(O)(c2cncnc2)c2ccc(Cl)cc2)cccc1,NA,-4.38,I,NA,331.2006,118,5.30E-02,4.07E-02,-0.012230882,0.238521,0.224978,-0.013543,4.2611,5.1069,252.419,-0.35686,0.28989,-0.02938,0.38178,34,508.3284607,-0.587751,-0.703685,-0.587751,0.400014,-1.609151,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
NHPPIJMARIVBGU-UHFFFAOYSA-N,1-iodonaphthalene,Ic1c2c(ccc1)cccc2,NA,-4.55,I,NA,254.0698,4,9.11E-02,8.46E-02,-0.006497998,0.184319,0.177294,-0.007025,1.6871,2.0748,126.281,-0.33105,0.28723,-0.03204,0.35597,18,345.2858887,0,-1.107427,-0.183043,0.17398,-0.056017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NHTGQOXRZFUGJX-UHFFFAOYSA-N,"5,6,7,8-tetrachloroquinoxaline",Clc1c(Cl)c(Cl)c2nccnc2c1Cl,NA,-5.43,H,NA,267.9292,190,7.22E-02,6.27E-02,-0.009484492,0.114515,0.105246,-0.009269,2.2063,2.9467,112.871,-0.35043,0.25171,-0.06756,0.37535,16,377.7622681,0,0.063408,-0.255403,0.208253,-0.479914,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NIHNNTQXNPWCJQ-UHFFFAOYSA-N,9H-fluorene,c12c3c(cccc3)Cc1cccc2,NA,-4.967883,I,NA,166.222,114.8,7.69E-02,7.24E-02,-0.004529917,0.219337,0.214245,-0.005092,0.5897,0.8116,169.325,-0.32096,0.30858,-0.01069,0.34588,23,366.9901123,0,-1.631131,-0.326529,0.181235,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NIPDVSLAMPAWTP-UHFFFAOYSA-N,2-methoxy-5-nitroaniline,O=[N+]([O-])c1cc(N)c(OC)cc1,NA,-3.165,J,NA,168.1518,118,-3.54E-02,-5.09E-02,-0.015525622,0.066821,0.049957,-0.016864,7.341,9.4285,162.532,-0.32673,0.27595,-0.04332,0.35165,20,346.3837891,-1.414339,-0.531225,-0.527964,0.862671,-1.023921,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
NKDDWNXOKDWJAK-UHFFFAOYSA-N,dimethoxymethane,O(COC)C,NA,0.48,N,NA,76.095,-105,-0.145937796,-0.152604924,-0.006667129,-0.075075,-0.082778,-0.007703,0.3056,0.0206,135.448,-0.37846,0.39145,0.07218,0.40338,13,247.192337,-0.984652,-0.154371,-0.492326,0.212641,-0.984652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKPDCGFEJUINIK-UHFFFAOYSA-N,4-(4-hydroxyphenyl)sulfonylfuran-2-sulfonamide,S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(O)cc2)c1,NA,-2.403,K,NA,303.3042,175,-0.279147554,-0.320972089,-0.041824535,-0.152956,-0.196153,-0.043197,6.7587,10.4608,233.28,-0.36877,0.28828,-0.03099,0.39369,28,484.4828491,-4.631316,-1.655487,-1.0295,2.598297,-0.369456,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
NMWSKOLWZZWHPL-UHFFFAOYSA-N,1-chloro-3-phenylbenzene,Clc1cc(c2ccccc2)ccc1,NA,-4.88,I,NA,188.6561,18,5.91E-02,5.51E-02,-0.004007303,0.182756,0.178353,-0.004403,2.034,2.5894,228.39,-0.34442,0.3064,-0.01287,0.36934,22,387.3317566,0,-1.365532,-0.227117,0.18159,-0.115136,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NOOBQTYVTDBXTL-UHFFFAOYSA-N,"6-hydroxy-1,3-benzothiazole-2-sulfonamide",S(=O)(=O)(N)c1sc2c(n1)ccc(O)c2,NA,-2.503,K,NA,230.256,220.25,-9.73E-02,-0.120854344,-0.023556813,-0.01664,-0.041234,-0.024594,5.7922,7.7692,146.462,-0.34328,0.27021,-0.04906,0.3682,20,390.4254761,-2.415821,-0.846786,-0.980263,2.58402,-0.671011,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0
NOQGZXFMHARMLW-UHFFFAOYSA-N,"4-(2,2-dimethylhydrazinyl)-4-oxobutanoic acid",O=C(O)CCC(=O)NN(C)C,NA,-0.2,M,NA,160.1724,154.5,-0.19379204,-0.219140513,-0.025348472,-0.062339,-0.089018,-0.026679,2.175,4.4766,180.923,-0.31638,0.3235,0.00423,0.3413,23,363.593811,-1.713012,-0.228356,-0.632021,0.687156,-2.246628,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPPQSCRMBWNHMW-UHFFFAOYSA-N,[2-(carbamoyloxymethyl)-2-methylpentyl] carbamate,O=C(OCC(COC(=O)N)(CCC)C)N,NA,-1.73737,L,NA,218.2522,104.5,-0.331756191,-0.350144616,-0.018388425,-0.125617,-0.145684,-0.020067,1.5992,2.1912,234.184,-0.38933,0.34357,0.0243,0.41425,33,430.4094238,-2.172398,-0.076651,-0.624156,0.716993,-3.251549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPUKDXXFDDZOKR-UHFFFAOYSA-N,ethyl 3-(1-phenylethyl)imidazole-4-carboxylate,O=C(OCC)c1n(C(C)c2ccccc2)cnc1,NA,-4.74,I,NA,244.2926,67,-6.56E-02,-7.87E-02,-0.013078544,0.144093,0.129828,-0.014265,2.9451,3.5336,295.332,-0.35612,0.3049,-0.01437,0.38104,34,475.9749756,-1.046222,-1.219361,-0.583795,0.697166,-1.510621,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
NQDJXKOVJZTUJA-UHFFFAOYSA-N,"11-cyclopropyl-4-methyl-5H-dipyrido[2,3-e:2',3'-f][1,4]diazepin-6-one",O=c1[nH]c2c(C)ccnc2n(C2CC2)c2ncccc12,NA,-3.19,J,NA,266.3018,246,9.73E-02,6.39E-02,-0.033377715,0.302101,0.268912,-0.033189,1.3309,4.6993,244.154,-0.33538,0.28281,-0.03646,0.3603,34,486.8981934,-0.620408,-0.402595,-0.620408,0.656604,-2.222629,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NQRLPDFELNCFHW-UHFFFAOYSA-N,N-(4-nitrophenyl)acetamide,O=[N+]([O-])c1ccc(NC(=O)C)cc1,NA,-2.69,K,NA,180.1628,215,-5.56E-02,-7.38E-02,-0.018180625,0.05137,0.031607,-0.019763,8.6737,11.5292,167.5,-0.35746,0.2717,-0.04757,0.38238,21,367.9502563,-1.63979,-0.459242,-0.627479,0.877545,-1.255894,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
NQRYJNQNLNOLGT-UHFFFAOYSA-N,piperidine,N1CCCCC1,NA,1.07,O,NA,85.1486,-11,-1.76E-02,-2.33E-02,-0.005726012,0.100058,0.093802,-0.006256,1.6508,2.0827,136.685,-0.3236,0.4379,0.11863,0.34852,17,265.6265259,0,-1.050234,-0.459079,0.218165,-0.459079,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NRGGMCIBEHEAIL-UHFFFAOYSA-N,2-ethylpyridine,C(C)c1ncccc1,NA,0.51,N,NA,107.1548,-63,3.08E-02,2.45E-02,-0.00622,0.131891,0.125055,-0.006836,1.9668,2.691,163.038,-0.35804,0.31984,0.00057,0.38296,17,298.2430115,0,-1.047522,-0.447989,0.235548,-0.419543,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NRXQIUSYPAHGNM-UHFFFAOYSA-N,"4-hydroxy-3,5-diiodobenzonitrile",Ic1c(O)c(I)cc(C#N)c1,NA,-3.61,J,NA,370.9158,203.5,7.25E-02,5.45E-02,-0.017965181,0.10952,0.090766,-0.018754,3.7446,4.6385,97.035,-0.35656,0.25428,-0.06499,0.38148,14,363.0950928,-0.458227,-0.061146,-0.458227,0.431988,-0.659535,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
NSMWYRLQHIXVAP-UHFFFAOYSA-N,"2,5-dimethylpiperazine",CC1NCC(C)NC1,NA,0.49,N,NA,114.19,115.75,-2.04E-02,-2.97E-02,-0.009292809,0.133677,0.123698,-0.009979,2.4759,3.064,157.849,-0.32429,0.42586,0.10659,0.34921,22,304.4677734,0,-1.291911,-0.548564,0.22658,-0.93382,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NTBYINQTYWZXLH-UHFFFAOYSA-N,"1,2-dichloro-4-nitrobenzene",Clc1c(Cl)ccc([N+](=O)[O-])c1,NA,-3.2,J,NA,192.0012,41,8.70E-03,2.78E-05,-0.008676448,0.052247,0.042645,-0.009602,3.3991,4.3027,81.901,-0.37791,0.24986,-0.06941,0.40283,14,326.2328796,-0.993761,-0.406176,-0.497809,0.855323,-0.182815,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
NURQLCJSMXZBPC-UHFFFAOYSA-N,"3,4-dimethylpyridine",Cc1c(C)ccnc1,NA,0.36,N,NA,107.1548,-11,2.41E-02,1.66E-02,-0.007481124,0.123716,0.1158,-0.007916,3.4914,4.4605,148.784,-0.35327,0.32158,0.00231,0.37819,17,289.2158508,0,-1.19093,-0.509436,0.180826,-0.374883,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NVKAWKQGWWIWPM-UHFFFAOYSA-N,"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one",O=C1CC2C(C)(C3C(C4C(C)(C(O)CC4)CC3)CC2)CC1,NA,-4.74,I,NA,290.4448,152,-0.232191433,-0.245606747,-0.013415314,0.148006,0.133136,-0.01487,3.3834,4.1411,345.977,-0.36228,0.34728,0.02801,0.3872,51,497.9760132,-1.207779,-3.436964,-0.607911,0.61872,-1.207779,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
NXBNYUSXDBHELA-UHFFFAOYSA-N,1-(2-hydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one,O=C(C=Cc1ccc(OC)cc1)c1c(O)cccc1,NA,-5.699,H,NA,254.2848,82,-9.83E-02,-0.110154631,-0.011824646,0.094685,0.084789,-0.009896,6.0511,8.0482,266.304,-0.32972,0.28102,-0.03825,0.35464,33,495.3581543,-1.536797,-1.036497,-0.630078,0.637609,-1.536797,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
NXQDBZGWYSEGFL-UHFFFAOYSA-N,N-(4-chlorophenyl)-2-dimethoxyphosphinothioylsulfanyl-N-propan-2-ylacetamide,Clc1ccc(N(C(=O)CSP(=S)(OC)OC)C(C)C)cc1,NA,-4.43,I,NA,367.8448,51,-0.322971476,-0.343628214,-0.020656738,-0.097204,-0.120539,-0.023335,3.3622,4.9762,309.263,-0.3452,0.28602,-0.03325,0.37012,40,539.0990601,-1.747985,-1.474268,-0.792984,1.433028,-1.851853,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
NYQDCVLCJXRDSK-UHFFFAOYSA-N,"(4-bromo-2,5-dichlorophenoxy)-dimethoxy-sulfanylidene-5-phosphane",Brc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,NA,-6.09,G,NA,365.9932,54,-0.291179581,-0.304176161,-0.01299658,-0.201883,-0.215576,-0.013693,4.793,7.0068,217.003,-0.35186,0.28177,-0.0375,0.37678,24,463.6707153,-1.705969,-0.43521,-0.795424,1.631988,-0.954728,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
NZDAAPUTURAWII-UHFFFAOYSA-N,(2-acetamido-2-oxoethyl) benzoate,O=C(NC(=O)C)COC(=O)c1ccccc1,NA,-2.401,K,NA,221.2122,104.5,-0.230532441,-0.250689392,-0.020156951,-0.08516,-0.106863,-0.021703,6.938,9.2755,220.398,-0.37745,0.27806,-0.04121,0.40237,27,443.0988159,-2.082059,0.465921,-0.633365,0.71407,-2.677495,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NZNPHIKNHGRVLZ-UHFFFAOYSA-N,[2-(tert-butylamino)-2-oxoethyl] benzoate,O=C(NC(C)(C)C)COC(=O)c1ccccc1,NA,-2.866,K,NA,235.2822,112.5,-0.201154597,-0.212940644,-0.011786047,0.010572,-0.003446,-0.014018,3.9341,5.2272,255.346,-0.3616,0.28605,-0.03322,0.38652,34,479.2261658,-1.63039,-0.917206,-0.630373,0.65689,-2.163325,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OBKHYUIZSOIEPG-UHFFFAOYSA-N,"1,1,3-trimethylcyclopentane",CC1(C)CC(C)CC1,NA,-4.48,I,NA,112.2144,-142.2,-6.43E-02,-6.55E-02,-0.001147697,0.107082,0.104951,-0.002131,0.1096,0.1113,174.704,-0.39676,0.46208,0.14281,0.42168,24,320.4770508,0,-2.321558,-0.540733,0.250024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OFDYMSKSGFSLLM-UHFFFAOYSA-N,"3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine",FC(F)(F)c1c(N)c([N+](=O)[O-])c(N(CC)CC)c([N+](=O)[O-])c1,NA,-5.47,H,NA,322.2433,98,-0.266518406,-0.288668216,-0.022149809,-0.077475,-0.102304,-0.024829,6.7844,9.8666,250.33,-0.36347,0.26554,-0.05373,0.38839,35,479.0299988,-2.272186,-1.055093,-0.646352,0.934045,-1.485962,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
OGDVEMNWJVYAJL-UHFFFAOYSA-N,"9-ethoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ol",O(CC)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,NA,-0.82,M,NA,313.3956,200,-9.32E-02,-0.113483288,-0.020284703,0.218433,0.196752,-0.021681,2.4987,4.1823,368.531,-0.302,0.32489,0.00562,0.32692,46,531.104126,-1.431631,-1.958577,-0.594156,0.335468,-1.79051,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OGHNVEJMJSYVRP-UHFFFAOYSA-N,1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol,O(CCNCC(O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cccc1,NA,-4.2557,I,NA,406.4804,114.25,-0.126676487,-0.149260531,-0.022584044,0.234063,0.210875,-0.023188,3.3499,4.5027,444.543,-0.30553,0.30405,-0.01522,0.33045,56,713.1624756,-1.856713,-1.940956,-0.597029,0.346241,-2.607833,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
OGJPXUAPXNRGGI-UHFFFAOYSA-N,1-ethyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,Fc1c(N2CCNCC2)cc2n(CC)cc(C(=O)O)c(=O)c2c1,NA,-2.81581,K,NA,319.3349,221,-0.216773521,-0.247816051,-0.03104253,0.037543,0.005538,-0.032005,11.6074,16.1151,266.437,-0.33538,0.27909,-0.04018,0.3603,41,524.2306519,-1.831035,-0.389982,-0.637808,0.761679,-2.896789,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
OJPDDQSCZGTACX-UHFFFAOYSA-N,2-[N-(2-hydroxyethyl)anilino]ethanol,OCCN(CCO)c1ccccc1,NA,-0.73,M,NA,181.234,57,-0.110960249,-0.123107758,-0.012147509,0.066276,0.053517,-0.012759,3.0532,3.7405,239.094,-0.30286,0.33272,0.01345,0.32778,28,379.6349487,-1.178754,-1.166111,-0.589619,0.327578,-1.5191,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OJXOXNIZNJIMLU-UHFFFAOYSA-N,4-(4-hydroxybenzoyl)thiophene-2-sulfonamide,S(=O)(=O)(N)c1scc(C(=O)c2ccc(O)cc2)c1,NA,-2.861,K,NA,283.3164,192.5,-0.149157296,-0.178919035,-0.029761739,-0.023905,-0.055545,-0.03164,5.8284,8.8278,236.54,-0.35482,0.27011,-0.04916,0.37974,27,472.2149048,-3.045806,-1.099451,-1.005885,2.624566,-0.903286,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,OC,NA,1.57,O,NA,32.042,-98,-7.69E-02,-8.26E-02,-0.005703157,-0.055848,-0.06203,-0.006182,2.0484,2.3067,49.693,-0.38701,0.41618,0.09691,0.41193,6,164.0632172,-0.575981,-0.173282,-0.575981,0.323677,-0.575981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKQHSIGMOWQUIK-UHFFFAOYSA-N,2-[(2-aminopurin-9-yl)methoxy]ethanol,O(CCO)Cn1c2nc(N)ncc2nc1,NA,-1.078,L,NA,209.2072,188.5,-2.86E-02,-4.89E-02,-0.020215663,0.114971,0.094201,-0.02077,3.7425,5.4146,201.689,-0.33552,0.29158,-0.02769,0.36044,26,395.6834106,-1.045865,0.868268,-0.577978,0.476724,-3.1276,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
OKXVARYIKDXAEO-UHFFFAOYSA-N,"2,3,3-trimethylbutan-2-ol",OC(C(C)(C)C)(C)C,NA,-0.72,M,NA,116.2028,17,-0.139879662,-0.145638099,-0.005758437,0.021828,0.014239,-0.007589,2.0011,2.6192,182.487,-0.36992,0.43039,0.11112,0.39484,24,306.0248413,-0.64097,-2.118635,-0.64097,0.400766,-0.64097,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONKUXPIBXRRIDU-UHFFFAOYSA-N,diethyl decanedioate,O=C(OCC)CCCCCCCCC(=O)OCC,NA,-3.509,J,NA,258.357,1.5,-0.370331146,-0.385432529,-0.015101383,-0.075527,-0.091294,-0.015767,2.764,3.6203,330.332,-0.3929,0.34975,0.03048,0.41782,44,593.6080322,-2.145058,-1.923091,-0.591622,0.677935,-2.145058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONXPZLFXDMAPRO-UHFFFAOYSA-N,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,NA,-11.69897,B,NA,498.662,305.9,-1.78E-02,-2.73E-02,-0.009535374,0.011823,0.001879,-0.009944,0,0,187.229,-0.36011,0.26625,-0.05302,0.38503,22,534.7068481,0,-0.098721,-0.043155,0.019798,0.09872,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OPNPQXLQERQBBV-UHFFFAOYSA-N,2-bromo-N-carbamoyl-2-ethylbutanamide,BrC(C(=O)NC(=O)N)(CC)CC,NA,-2.68,K,NA,237.0959,118,-0.191363029,-0.203432951,-0.012069922,-0.049874,-0.06342,-0.013546,4.1259,5.2067,193.49,-0.39278,0.28459,-0.03468,0.4177,25,383.5627136,-1.168482,-0.090129,-0.623402,0.708957,-2.488847,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OQANPHBRHBJGNZ-BKUYFWCQSA-N,"(3E)-6-oxo-3-[[4-(pyridin-2-ylsulfamoyl)phenyl]hydrazinylidene]cyclohexa-1,4-diene-1-carboxylic acid",S(=O)(=O)(Nc1ncccc1)c1ccc(N/N=C/2\C=C(C(=O)O)C(=O)C=C2)cc1,NA,-6.1367,G,NA,398.3924,234.5,-0.117932459,-0.157707661,-0.039775202,0.108146,0.065274,-0.042872,6.0068,10.2913,268.735,-0.34816,0.22792,-0.09135,0.37308,42,633.9138184,-3.720025,-0.41826,-0.986609,2.607571,-2.573483,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1
OQEBBZSWEGYTPG-UHFFFAOYSA-N,3-aminobutanoic acid,O=C(O)CC(N)C,NA,1.08,O,NA,103.1206,189,-0.159796816,-0.177657456,-0.01786064,-0.071091,-0.090192,-0.019101,4.5335,5.8501,136.627,-0.36763,0.3363,0.01703,0.39255,16,275.4257202,-1.095996,-0.2212,-0.575494,0.709086,-1.67149,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORNBQBCIOKFOEO-UHFFFAOYSA-N,"1-(3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl)ethanone",O=C(C)C1C2(C)C(C3C(C4(C)C(=CC3)CC(O)CC4)CC2)CC1,NA,-4.65,I,NA,316.4826,192.25,-0.2152969,-0.228629173,-0.013332273,0.190296,0.174587,-0.015709,2.4613,2.5813,395.453,-0.34204,0.3459,0.02663,0.36696,55,535.9645386,-1.208987,-3.836952,-0.651679,0.628944,-1.208987,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OSSQSXOTMIGBCF-UHFFFAOYSA-N,non-1-yne,C(#C)CCCCCCC,NA,-4.24,I,NA,124.2254,-50,2.58E-02,2.36E-02,-0.002180996,0.196408,0.193234,-0.003174,1.2396,1.4849,230.259,-0.39015,0.38576,0.06649,0.41507,25,387.0601196,0,-2.327477,-0.470142,0.203293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTKXWJHPGBRXCR-UHFFFAOYSA-N,(2-chloro-4-nitrophenoxy)-dimethoxy-sulfanylidene-$l^{5}-phosphane,Clc1c(OP(=S)(OC)OC)ccc([N+](=O)[O-])c1,NA,-4.31,I,NA,297.6496,52.5,-0.292700944,-0.30925449,-0.016553546,-0.182357,-0.200261,-0.017904,6.7796,8.2596,191.561,-0.36582,0.25982,-0.05945,0.39074,26,457.453186,-2.677311,-0.582871,-0.823411,1.637517,-1.003322,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
