Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsoluHsolv', 'SASA']",ET,0.726388754,0.565170416,89.36170213,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['LsoluHsolv', 'LsolvHsolu']",ET,0.711691441,0.578098914,88.29787234,75.53191489
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['solv_dip', 'Het_charges']",ET,0.720300232,0.571205287,87.23404255,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['solv_dip', 'Most_pos']",ET,0.726374422,0.563807001,88.29787234,79.78723404
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['solv_dip', 'Most_neg']",ET,0.726886188,0.564248902,89.36170213,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['solv_dip', 'C_charges']",ET,0.72815402,0.563917238,89.36170213,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['solv_dip', 'O_charges']",ET,0.728190374,0.566069117,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'LsolvHsolu', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['solv_dip', 'SASA']",ET,0.71967713,0.569227081,88.29787234,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsoluHsolv', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['solv_dip', 'LsolvHsolu']",ET,0.711332088,0.57768589,88.29787234,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos', 'Het_charges']","['solv_dip', 'LsoluHsolv']",ET,0.71828874,0.573351607,88.29787234,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Most_pos']","['DeltaG_sol', 'Het_charges']",ET,0.709640248,0.579594899,87.23404255,74.46808511
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_neg', 'Het_charges']","['DeltaG_sol', 'Most_pos']",ET,0.718205133,0.56957278,91.4893617,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges', 'Most_pos', 'Het_charges']","['DeltaG_sol', 'Most_neg']",ET,0.730668855,0.558146197,90.42553191,74.46808511
